SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2018101809322431,55.35556,33.855484,403.44916,93.556915,4.374755692535952e-06,0.0037072189253798513,2.7704842817436838e-05,0.0018392981111356556,3.3502979354326925e-06,0.002425886454957198,29.86892155970496
SND2018101809322471,55.35001,33.875473,405.14417,93.5196,9.93473548124905e-06,0.004639504953585054,5.355771003224716e-05,0.002350824568771437,7.497049058940213e-06,0.003137528819768309,27.872468397429675
SND2018101809322472,55.356606,33.86735,403.35577,93.565025,6.414470294391261e-06,0.004116297837353529,3.768164772942992e-05,0.0020624226410695893,4.878723363006593e-06,0.002735260233609029,28.93736023064168
SND2018101809322473,55.363132,33.859196,403.57013,93.55611,4.203517240710695e-06,0.003666953300416943,2.682992233939737e-05,0.001817456732465574,3.221467936955689e-06,0.0023956962294792473,29.966114695382604
SND2018101809322474,55.369602,33.850933,404.01947,93.47856,2.735095957370637e-06,0.0032603048177403996,1.8994321417045612e-05,0.0015981787212884537,2.112344046613053e-06,0.0020936062027918072,31.012200965509674
SND2018101809322501,55.344467,33.89548,403.0729,93.50028,2.275920015484095e-05,0.005820145968176263,0.0001042655319832409,0.0030124833244073983,1.6921048237910153e-05,0.0040690799009444854,25.854727075194496
SND2018101809322502,55.351067,33.887363,405.28802,93.47338,1.4616400492224477e-05,0.005156252830560013,7.304379168974458e-05,0.002638685860995476,1.0953772761330943e-05,0.003541434264327041,26.932627996010126
SND2018101809322503,55.3576,33.87921,405.9118,93.38079,9.505363824198966e-06,0.004583779679589119,5.168942362332139e-05,0.002319955829307745,7.178724717505299e-06,0.0030943529523026233,27.98001135982198
SND2018101809322504,55.36408,33.870956,403.70148,93.546585,6.13718393739966e-06,0.004066846336956088,3.636690016312309e-05,0.002035335173649557,4.671529749499993e-06,0.0026976120497923706,29.044926143342142
SND2018101809322505,55.37041,33.86274,403.55908,93.68888,3.975811918657056e-06,0.003611520602480458,2.565554523026943e-05,0.0017874250990747452,3.0500087598963414e-06,0.002354213689018836,30.10167863893984
SND2018101809322506,55.376675,33.854454,403.54276,93.67459,2.6068450645286135e-06,0.0032177596589088578,1.8275174452115406e-05,0.0015753798129499983,2.015031311691487e-06,0.0020623074979476933,31.129102775938414
SND2018101809322531,55.338936,33.91553,401.66577,93.773964,5.245084026514694e-05,0.007313172114491928,0.0002039599245961512,0.0038672778942120635,3.841601862680974e-05,0.005287112111174859,23.822442530221796
SND2018101809322532,55.345543,33.907413,400.48553,93.72783,3.352286064208845e-05,0.006470430513399346,0.00014233243002187377,0.0033825302949058392,2.4750935119793267e-05,0.004594565851916504,24.912084538637682
SND2018101809322533,55.35208,33.899265,402.88867,93.673096,2.0062142204424806e-05,0.005622782960098572,9.421421286480597e-05,0.0029009199927890424,1.4949653838432095e-05,0.003911248759246804,26.161757727319195
SND2018101809322534,55.35856,33.89101,404.39676,93.60309,1.3912691118552471e-05,0.005087133928610223,7.020392746894457e-05,0.0026000189237844686,1.0435642599402254e-05,0.0034870504309681464,27.052735449888853
SND2018101809322535,55.3649,33.882793,405.56787,93.544495,8.960447883419216e-06,0.00451036112764202,4.9294286635626786e-05,0.0022793397970821794,6.774365423085063e-06,0.0030375859556941655,28.123713648666122
SND2018101809322536,55.371166,33.87451,405.73,93.48062,5.407222756828668e-06,0.003928405870265894,3.284800565528552e-05,0.0019596687086292208,4.12526325033497e-06,0.0025925743696259026,29.353162885287645
SND2018101809322537,55.37734,33.866184,403.90015,93.475975,3.7745540097173693e-06,0.0035605718769361697,2.4606536584470122e-05,0.0017598608547300225,2.898317541410858e-06,0.0023161689563776116,30.22812457014553
SND2018101809322538,55.383396,33.857822,403.59866,93.69052,2.453998360818521e-06,0.0031650206885147944,1.740895423074728e-05,0.0015471575822848394,1.8989433153857304e-06,0.0020235939078747022,31.2761787526525
SND2018101809322571,55.333405,33.935577,403.32172,93.77682,0.00012186020566408105,0.009209558521134885,0.0004015808464925924,0.004976653720621615,8.791203867853112e-05,0.006887203764194724,21.770462614579248
SND2018101809322572,55.340015,33.927464,401.90317,93.79417,7.73862507266169e-05,0.008133997049872504,0.0002787997822290469,0.0043445020894130075,5.62847735238061e-05,0.005973032556715601,22.87572371740662
SND2018101809322573,55.346558,33.919315,401.90262,93.88484,4.596452210238401e-05,0.007053843103387854,0.00018343033443215167,0.0037175222136841537,3.374519960698271e-05,0.00507268587994264,24.143765546366055
SND2018101809322574,55.353043,33.91106,400.54672,93.60629,3.172407896790218e-05,0.006373561136212476,0.0001361615602755111,0.003327175880513376,2.3446046338720698e-05,0.0045157750614228855,25.046331615287944
SND2018101809322575,55.359386,33.902847,404.1242,93.6221,2.033507919093936e-05,0.005643602348513724,9.524293361751475e-05,0.0029126714483347143,1.5149361559222478e-05,0.003927860182402761,26.12886544783899
SND2018101809322576,55.365654,33.894566,404.9521,93.635635,1.2185463475795802e-05,0.004906001739130256,6.310958660464635e-05,0.002498924184822777,9.16186215270635e-06,0.003345049877771975,27.375400205782107
SND2018101809322577,55.371834,33.886242,405.85425,93.487526,8.462965205882738e-06,0.004440444185745072,4.708255467880748e-05,0.002240718531579087,6.404819086142209e-06,0.002983652248947466,28.262753487671233
SND2018101809322578,55.37789,33.87788,406.00314,93.49271,5.467713847290624e-06,0.003940377209919538,3.314300722807772e-05,0.001966202044649588,4.170579796147895e-06,0.0026016361085921965,29.326083074567734
SND2018101809322601,55.32783,33.955597,401.98026,93.79586,0.00026520772012540115,0.011392218743007236,0.0007502206944405308,0.006280254257913991,0.000188672585836548,0.008789512285343578,19.87757682247157
SND2018101809322602,55.334435,33.947475,401.8798,93.77068,0.00018062083961548861,0.010256107413729362,0.0005509644238036845,0.005598462743760693,0.00012938552794854267,0.007791926858301267,20.812564449345842
SND2018101809322603,55.340973,33.93932,404.18185,93.65117,0.00011417317957749844,0.009046887707544872,0.0003810931336900897,0.004880578802621603,8.246290401020748e-05,0.0067478865680444524,21.92906693008295
SND2018101809322604,55.347446,33.93106,402.64258,93.77287,7.281681272828622e-05,0.007999717852871164,0.0002654910781358216,0.004266110347999654,5.301922420811354e-05,0.005860097759699838,23.023871274711087
SND2018101809322605,55.353783,33.922836,400.80786,93.71389,4.640588110550313e-05,0.00707230397866876,0.00018484451757465084,0.0037281660269670477,3.406338142415352e-05,0.005087912541793583,24.120503981827394
