SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2018101809320102,55.747116,32.446766,402.18634,90.46051,0.00536745,0.014034379,0.006695781,0.008777224,0.00294377,0.013684741,13.305722
SND2018101809320132,55.741776,32.466858,410.8562,89.36609,0.001570214,0.005905965,0.002149556,0.004554567,0.000720879,0.006648306,16.612112
SND2018101809320134,55.754196,32.450203,404.90915,90.68887,0.003464858,0.010311917,0.004467756,0.006948715,0.001783694,0.010582645,14.483084
SND2018101809320172,55.736458,32.486866,407.57953,90.649445,0.000393386,0.002228309,0.000597938,0.002175709,0.000147826,0.002948764,20.335543
SND2018101809320173,55.742687,32.478645,407.8193,89.74942,0.000638724,0.003134749,0.000935915,0.002818043,0.000257453,0.003919862,19.031754
SND2018101809320174,55.748863,32.470295,407.7011,89.818146,0.000966736,0.004197137,0.001372852,0.003515738,0.000413747,0.005000211,17.916872
SND2018101809320175,55.7549,32.461987,410.32562,90.097244,0.001478918,0.005662021,0.002033764,0.004411255,0.000673107,0.006418471,16.773247
SND2018101809320176,55.760868,32.45361,408.1772,90.545715,0.002344448,0.007832087,0.003113651,0.005641048,0.001140594,0.008413094,15.533856
SND2018101809320201,55.72476,32.515244,412.79315,88.847275,7.17E-05,0.000671807,0.000123904,0.000876839,2.11E-05,0.001084723,24.915825
SND2018101809320202,55.731068,32.50702,409.17844,89.55215,0.000104342,0.000875206,0.000175336,0.001071471,3.24E-05,0.001352457,23.905483
SND2018101809320204,55.743496,32.490368,408.23065,90.15286,0.000263605,0.001680899,0.000412986,0.00175713,9.35E-05,0.002330895,21.412455
SND2018101809320205,55.749535,32.482056,408.36743,89.89207,0.000417698,0.00232442,0.000632019,0.002246471,0.000158329,0.003054472,20.174232
SND2018101809320206,55.7555,32.47368,409.12936,89.82219,0.000655313,0.003191865,0.000958364,0.002856875,0.000265122,0.003979341,18.962778
SND2018101809320231,55.71935,32.535294,407.3084,88.538055,4.06E-05,0.000450099,7.32E-05,0.000647272,1.10E-05,0.000776685,26.445753
SND2018101809320232,55.725662,32.52707,410.60464,88.5284,4.90E-05,0.000514158,8.72E-05,0.000715957,1.36E-05,0.000867849,25.937447
SND2018101809320234,55.738102,32.510418,408.4164,89.36228,8.74E-05,0.000772555,0.000148849,0.000974799,2.64E-05,0.001218803,24.38205
SND2018101809320235,55.744144,32.50211,406.9191,89.969315,0.000128451,0.001013167,0.000212482,0.001197191,4.11E-05,0.001528078,23.346321
SND2018101809320236,55.75011,32.493732,413.81393,89.2826,0.000197773,0.001372991,0.000316652,0.001507304,6.73E-05,0.001968931,22.185383
SND2018101809320237,55.75599,32.485317,411.78558,89.47593,0.000308109,0.001876074,0.000477049,0.001909693,0.000111759,0.00255455,20.992817
SND2018101809320238,55.76174,32.47687,410.6831,89.74745,0.000482927,0.002574496,0.000722746,0.002427371,0.000186938,0.00332621,19.783892
SND2018101809320271,55.71394,32.55534,405.0976,88.04408,3.29E-05,0.000388084,6.03E-05,0.000578481,8.63E-06,0.000686351,27.012049
SND2018101809320272,55.720257,32.54712,405.42526,88.271484,3.42E-05,0.000399174,6.26E-05,0.000590968,9.03E-06,0.000702671,26.904417
SND2018101809320274,55.732704,32.53047,408.40634,88.446396,4.56E-05,0.00048897,8.17E-05,0.000689213,1.26E-05,0.000832242,26.129324
SND2018101809320275,55.73875,32.52216,408.6935,88.75679,5.70E-05,0.000571571,0.000100223,0.000775768,1.62E-05,0.000947957,25.533073
SND2018101809320276,55.744724,32.513786,409.51498,89.01979,7.59E-05,0.000699473,0.000130645,0.000904073,2.25E-05,0.001121855,24.761667
SND2018101809320301,55.708546,32.57526,405.57806,87.51699,3.82E-05,0.000431111,6.92E-05,0.000626468,1.02E-05,0.000749259,26.610401
SND2018101809320302,55.714848,32.567055,404.9888,87.50479,3.45E-05,0.000401612,6.31E-05,0.000593701,9.12E-06,0.000706248,26.88116
SND2018101809320303,55.721073,32.55885,404.59225,87.6032,3.25E-05,0.000384893,5.96E-05,0.000574872,8.51E-06,0.00068164,27.043592
SND2018101809320304,55.727257,32.5505,405.29187,87.756744,3.32E-05,0.000390665,6.08E-05,0.000581396,8.72E-06,0.000690157,26.986723
SND2018101809320305,55.7333,32.542187,407.5252,87.90043,3.68E-05,0.00042031,6.69E-05,0.000614537,9.82E-06,0.00073357,26.70732
SND2018101809320306,55.73927,32.53381,406.90353,88.21539,4.30E-05,0.000469111,7.73E-05,0.000667891,1.17E-05,0.000803954,26.287706
SND2018101809320307,55.745144,32.52539,406.696,88.726906,5.29E-05,0.000542666,9.36E-05,0.000745848,1.49E-05,0.000907802,25.731308
SND2018101809320308,55.750896,32.516945,408.58218,88.90356,6.84E-05,0.000649759,0.000118594,0.00085494,1.99E-05,0.001054949,25.043295
SND2018101809320331,55.703037,32.595257,411.16983,86.197044,5.59E-05,0.000563725,9.84E-05,0.000767684,1.58E-05,0.000937092,25.58587
SND2018101809320332,55.709343,32.587055,411.13223,86.49084,4.48E-05,0.000482649,8.03E-05,0.000682449,1.23E-05,0.000823259,26.179031
SND2018101809320333,55.715572,32.57885,406.57123,86.975266,3.87E-05,0.000435353,7.01E-05,0.000631135,1.04E-05,0.000755403,26.572998
SND2018101809320334,55.721756,32.5705,403.20715,86.90606,3.50E-05,0.000405821,6.39E-05,0.000598411,9.28E-06,0.000712417,26.841333
SND2018101809320335,55.727802,32.56219,404.1802,87.00824,3.29E-05,0.000387882,6.02E-05,0.000578253,8.62E-06,0.000686053,27.014034
SND2018101809320336,55.73378,32.553814,405.28015,87.1551,3.25E-05,0.000385129,5.97E-05,0.00057514,8.52E-06,0.00068199,27.041245
SND2018101809320337,55.73966,32.5454,405.67325,87.67512,3.54E-05,0.00040885,6.46E-05,0.000601795,9.39E-06,0.00071685,26.81292
SND2018101809320338,55.74541,32.536957,403.88922,88.153435,4.10E-05,0.000452994,7.39E-05,0.000650426,1.11E-05,0.00078085,26.421253
SND2018101809320371,55.69753,32.615246,401.3985,86.6824,9.66E-05,0.000829049,0.000163299,0.001028363,2.96E-05,0.0012927,24.112452
SND2018101809320372,55.703835,32.60705,408.37582,86.2654,7.17E-05,0.000672031,0.000123958,0.000877061,2.11E-05,0.001085024,24.91455
SND2018101809320373,55.710068,32.598854,409.84128,86.44042,5.53E-05,0.000560036,9.76E-05,0.000763873,1.57E-05,0.000931974,25.610952
SND2018101809320374,55.71626,32.590504,409.9226,86.34306,4.49E-05,0.000483516,8.05E-05,0.000683378,1.23E-05,0.000824492,26.172173
SND2018101809320375,55.72231,32.582195,405.46353,86.32304,3.90E-05,0.000437821,7.06E-05,0.000633845,1.05E-05,0.000758974,26.5514
SND2018101809320376,55.728287,32.573822,405.12567,86.27171,3.57E-05,0.000411372,6.51E-05,0.000604605,9.48E-06,0.000720535,26.789434
SND2018101809320377,55.734173,32.565407,404.20337,86.28815,3.33E-05,0.000391862,6.11E-05,0.000582745,8.76E-06,0.000691919,26.975039
SND2018101809320378,55.73992,32.55697,404.45557,86.665344,3.25E-05,0.000384803,5.96E-05,0.000574771,8.51E-06,0.000681508,27.04448
SND2018101809320401,55.692024,32.63525,403.49997,86.35202,0.000180674,0.001288288,0.000291259,0.001436285,6.07E-05,0.001867089,22.428629
SND2018101809320402,55.69834,32.627045,402.2087,86.25822,0.000125859,0.000998732,0.000208517,0.001184241,4.01E-05,0.001509899,23.401136
SND2018101809320403,55.70458,32.61886,403.32858,86.2161,9.14E-05,0.0007971,0.000155088,0.000998184,2.78E-05,0.001251017,24.26257
SND2018101809320404,55.710773,32.61051,409.0018,85.820656,6.85E-05,0.000650888,0.000118864,0.000856066,2.00E-05,0.001056477,25.036665
SND2018101809320405,55.716835,32.602203,411.62424,85.642395,5.39E-05,0.00054962,9.52E-05,0.000753081,1.52E-05,0.000917495,25.682665
SND2018101809320406,55.72282,32.59383,410.2089,85.86061,4.47E-05,0.000482159,8.02E-05,0.000681924,1.23E-05,0.000822561,26.18291
SND2018101809320407,55.728714,32.585415,405.50247,85.52968,3.92E-05,0.000439223,7.09E-05,0.000635383,1.06E-05,0.000761,26.53919
SND2018101809320408,55.734463,32.57698,403.29837,85.54061,3.58E-05,0.000411937,6.52E-05,0.000605235,9.51E-06,0.000721361,26.784187
SND2018101809320431,55.68655,32.655235,403.82407,85.220825,0.000389347,0.002212171,0.00059226,0.002163756,0.000146089,0.002930942,20.363308
SND2018101809320432,55.692863,32.64705,402.2533,85.91787,0.000251633,0.001626772,0.000395618,0.001714074,8.86E-05,0.002268124,21.537487
SND2018101809320433,55.69911,32.638863,402.4831,86.43233,0.000169309,0.001230676,0.000274282,0.001387334,5.63E-05,0.001797185,22.603395
SND2018101809320434,55.705307,32.630516,399.99008,86.1319,0.000118269,0.000955929,0.000196865,0.001145569,3.73E-05,0.00145573,23.568466
SND2018101809320435,55.71137,32.62221,404.73242,85.84508,8.62E-05,0.000765101,0.000146967,0.000967662,2.60E-05,0.001208987,24.419085
SND2018101809320436,55.71736,32.613842,408.48013,85.55047,6.57E-05,0.000631624,0.000114268,0.000836793,1.90E-05,0.001030334,25.151428
SND2018101809320437,55.72326,32.605427,412.2856,85.37675,5.24E-05,0.000538564,9.27E-05,0.00074157,1.47E-05,0.000902075,25.760296
SND2018101809320438,55.729015,32.596992,409.68448,85.286064,4.44E-05,0.00047939,7.96E-05,0.000678954,1.22E-05,0.00081862,26.204908
SND2018101809320471,55.681072,32.67523,406.56686,84.00471,0.001009959,0.004328423,0.001429497,0.003598778,0.00043499,0.005130328,17.799213
SND2018101809320472,55.68739,32.667046,407.52905,84.27363,0.000588263,0.002958242,0.000867355,0.00269694,0.000234307,0.003734894,19.253136
SND2018101809320473,55.693634,32.658867,403.98248,85.17279,0.000363126,0.002106186,0.000555294,0.002084719,0.000134883,0.002813348,20.550854
SND2018101809320474,55.699837,32.650524,402.672,86.23568,0.000234695,0.001548868,0.000370936,0.001651492,8.18E-05,0.002177163,21.724947
SND2018101809320475,55.705906,32.64222,402.44998,86.56271,0.00015834,0.001173979,0.000257815,0.001338615,5.22E-05,0.001727859,22.783566
SND2018101809320476,55.7119,32.63385,403.02396,86.226166,0.00011163,0.000917817,0.000186627,0.001110783,3.50E-05,0.001407161,23.72388
SND2018101809320477,55.7178,32.62544,405.30286,85.60522,8.20E-05,0.000738679,0.000140341,0.000942226,2.46E-05,0.001174063,24.553337
SND2018101809320478,55.72356,32.61701,408.99283,85.10018,6.33E-05,0.000615749,0.000110512,0.000820803,1.83E-05,0.001008689,25.248667
