SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2018101809320102,55.747116,32.446766,402.18634,90.46051,0.025164130825075105,0.1324526998583708,0.028922319080914645,0.05421284022532524,0.016962576097144397,0.06073214059675991,16.821851059559616
SND2018101809320132,55.741776,32.466858,410.8562,89.36609,0.01255898072035735,0.10045393634054926,0.018340538364590674,0.042980122928908605,0.010316395506383738,0.045557059279262194,20.368149710041326
SND2018101809320134,55.754196,32.450203,404.90915,90.68887,0.018425408340146963,0.11700398305908415,0.023578357656010483,0.048851679675265554,0.013571738894823758,0.053385040574228736,18.412309148960123
SND2018101809320172,55.736458,32.486866,407.57953,90.649445,0.006089232873112198,0.07531368873221067,0.011411856135373362,0.033747039218170065,0.006145739732186861,0.03376720145072484,24.06207124840378
SND2018101809320173,55.742687,32.478645,407.8193,89.74942,0.007229927367820472,0.08063898241753185,0.012771183875936752,0.03573949930532801,0.00694914706423108,0.036253042415096685,23.185901097699432
SND2018101809320174,55.748863,32.470295,407.7011,89.818146,0.00923017693289023,0.08886925673347444,0.014988375856337758,0.03877808439745572,0.008276202957703926,0.04010763298685667,21.939568506278643
SND2018101809320175,55.7549,32.461987,410.32562,90.097244,0.011053098258286705,0.09547637305037178,0.016867713043015556,0.041184720340268474,0.009415378767783313,0.04321237852830749,21.01989432202676
SND2018101809320176,55.760868,32.45361,408.1772,90.545715,0.014316994075884066,0.10582927698332262,0.01998496005708315,0.044903060936697374,0.0113302445243825,0.04809429521697719,19.699637634871706
SND2018101809320201,55.72476,32.515244,412.79315,88.847275,0.0027652397680226364,0.05501304955922641,0.006802396421595272,0.025924067445577657,0.0034935936133760827,0.024359589183387837,28.090122553832376
SND2018101809320202,55.731068,32.50702,409.17844,89.55215,0.003279938954807919,0.05887926926166138,0.007607631807676729,0.027445394331288668,0.003947444661896494,0.02614195093126031,27.219103164291614
SND2018101809320204,55.743496,32.490368,408.23065,90.15286,0.004781830547938312,0.06840819758827167,0.009739997895406778,0.031129191828524732,0.005169721051574481,0.030554187243792334,25.29538911809941
SND2018101809320205,55.749535,32.482056,408.36743,89.89207,0.0057964763237298,0.07385156190706545,0.011049216127681366,0.03319608456794264,0.005932846121988572,0.033085882679705844,24.313491419609367
SND2018101809320206,55.7555,32.47368,409.12936,89.82219,0.00727610093075606,0.0808435013164818,0.012824582176718757,0.03581559095860076,0.006980873368370755,0.03634864450123138,23.15341653065098
SND2018101809320231,55.71935,32.535294,407.3084,88.538055,0.0019954878318019197,0.04831603992815751,0.0054928900020359194,0.023247136535666273,0.0027662712972954485,0.02128417819630382,29.75482402239573
SND2018101809320232,55.725662,32.52707,410.60464,88.5284,0.0021749991288566206,0.05000073173376548,0.005811922612231647,0.023925851102045325,0.002942133662113173,0.02205631799974261,29.315278165877825
SND2018101809320234,55.738102,32.510418,408.4164,89.36228,0.002796193439335473,0.05525725183143243,0.0068522068971656,0.02602065500022912,0.00352153096048083,0.024472025034873328,28.03332094008998
SND2018101809320235,55.744144,32.50211,406.9191,89.969315,0.0032882853632330484,0.05893883901775553,0.007620314361785395,0.02746870668147666,0.0039546294674076155,0.026169450303371988,27.20613487652633
SND2018101809320236,55.75011,32.493732,413.81393,89.2826,0.004021692313884937,0.06385467934044181,0.008695240081653715,0.029379874501637485,0.004567414739988687,0.028442472325292654,26.17877329412156
SND2018101809320237,55.75599,32.485317,411.78558,89.47593,0.004625366673472211,0.06750865284989763,0.009529924887783106,0.03078513444670543,0.005048115203074801,0.03013656452185206,25.465144922117346
SND2018101809320238,55.76174,32.47687,410.6831,89.74745,0.005724169429667675,0.07348362269080795,0.010958684909805392,0.03305716435311678,0.005879797401677176,0.032914515070485754,24.377544398994164
SND2018101809320271,55.71394,32.55534,405.0976,88.04408,0.0017295919758637563,0.04564363962087344,0.00500145467059892,0.022162629925625624,0.00249722147592783,0.020061551673606483,30.484526732967797
SND2018101809320272,55.720257,32.54712,405.42526,88.271484,0.0017735058906611523,0.04610126797419507,0.005084322474766708,0.02234905074152617,0.0025424261461126137,0.020270720037795256,30.356587605708533
SND2018101809320274,55.732704,32.53047,408.40634,88.446396,0.0019607917655193757,0.047980013800415396,0.005430105138379443,0.02311131071083258,0.0027317705198578704,0.021130295019659757,29.844326518122077
SND2018101809320275,55.73875,32.52216,408.6935,88.75679,0.0022016248632969098,0.050243385865070815,0.005858455923730677,0.024023304817552646,0.0029678597719264227,0.022167618925467713,29.253191481751774
SND2018101809320276,55.744724,32.513786,409.51498,89.01979,0.0024950757516465183,0.052808076779757504,0.006359141107371644,0.0250487922461133,0.0032458247201632194,0.02334528122033333,28.614723110509285
