SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2018101809320102,55.747116,32.446766,402.18634,90.46051,0.0225853813013825,3.3593552643628853e-53,0.021063223724394797,0.06449903287397635,0.011690012025935236,2.6448289237110074e-54,16.821851059559616
SND2018101809320132,55.741776,32.466858,410.8562,89.36609,0.010251078719113637,1.3773555147350252e-63,0.010543363355623558,0.06449674558620123,0.005303599392731924,1.3447229158729023e-64,20.368149710041326
SND2018101809320134,55.754196,32.450203,404.90915,90.68887,0.015847891071996596,7.374945804811171e-58,0.015443115783322874,0.06449800705204807,0.008201162490895333,6.394537148680597e-59,18.412309148960123
SND2018101809320172,55.736458,32.486866,407.57953,90.649445,0.004502265820392731,2.0866255521177725e-74,0.005127699877665641,0.06449436317102702,0.0023282956698031485,2.5489789334546363e-75,24.06207124840378
SND2018101809320173,55.742687,32.478645,407.8193,89.74942,0.00547254192575225,7.687265481003895e-72,0.0060838324040311375,0.06449492825386155,0.002830363044098058,8.90443746543773e-73,23.185901097699432
SND2018101809320174,55.748863,32.470295,407.7011,89.818146,0.007223628799172273,3.4380768774949137e-68,0.007758947690623926,0.06449573208018136,0.0037365773201592112,3.6924045843295204e-69,21.939568506278643
SND2018101809320175,55.7549,32.461987,410.32562,90.097244,0.008865879611242751,1.6985076096536157e-65,0.00928419804006733,0.06449632523350678,0.004586577316918583,1.725153507968335e-66,21.01989432202676
SND2018101809320176,55.760868,32.45361,408.1772,90.545715,0.011897051438321591,1.2506534496045568e-61,0.012012543672357125,0.06449717675617478,0.006155674098847456,1.172488038303485e-62,19.699637634871706
SND2018101809320201,55.72476,32.515244,412.79315,88.847275,0.0018355660930002402,3.3202239179935374e-86,0.002336408733267838,0.06449176535731037,0.000948779553711631,5.178791204486697e-87,28.090122553832376
SND2018101809320202,55.731068,32.50702,409.17844,89.55215,0.002228587666883898,1.1814300305235737e-83,0.002769280464450339,0.0644923270955377,0.0011520485784085146,1.7479042576510998e-84,27.219103164291614
SND2018101809320204,55.743496,32.490368,408.23065,90.15286,0.00342076951324194,5.093558619306945e-78,0.0040308812319008,0.0644935677554261,0.0017687481133376354,6.705651912411941e-79,25.29538911809941
SND2018101809320205,55.749535,32.482056,408.36743,89.89207,0.004257057639717352,3.8284913457980695e-75,0.004882193200581028,0.06449420101939256,0.00220142205888774,4.7486955357593725e-76,24.313491419609367
SND2018101809320206,55.7555,32.47368,409.12936,89.82219,0.0055122835954664684,9.570179929668563e-72,0.006122520951395887,0.06449494920476317,0.0028509283846240786,1.1063657990230896e-72,23.15341653065098
SND2018101809320231,55.71935,32.535294,407.3084,88.538055,0.0012668698614675608,4.417833027135491e-91,0.0016883669695685537,0.06449069177088139,0.0006546961711301091,7.623164153045486e-92,29.75482402239573
SND2018101809320232,55.725662,32.52707,410.60464,88.5284,0.0013971798003626931,8.56350679214473e-90,0.0018395769911129243,0.06449097523766789,0.0007220764757601919,1.4387839047049124e-90,29.315278165877825
SND2018101809320234,55.738102,32.510418,408.4164,89.36228,0.001858937709811312,4.870134106485987e-86,0.0023624504442329173,0.06449180198968422,0.0009608666348223386,7.570162875256227e-87,28.03332094008998
SND2018101809320235,55.744144,32.50211,406.9191,89.969315,0.0022350345162476318,1.2894143244721022e-83,0.002776297441805268,0.06449233545908882,0.001155383033143399,1.9061646448414626e-84,27.20613487652633
SND2018101809320236,55.75011,32.493732,413.81393,89.2826,0.0028097519810720718,1.3169335573790633e-80,0.003392610299879731,0.06449299803197042,0.0014526591821556563,1.8291982089885892e-81,26.17877329412156
SND2018101809320237,55.75599,32.485317,411.78558,89.47593,0.0032938374767240374,1.6210698088286601e-78,0.003899539718251369,0.06449345827394454,0.0017030814597767585,2.1562270316527875e-79,25.465144922117346
SND2018101809320238,55.76174,32.47687,410.6831,89.74745,0.004196751412309395,2.485505144666986e-75,0.004821548373744912,0.0644941597089485,0.0021702195038217405,3.094917813137946e-76,24.377544398994164
SND2018101809320271,55.71394,32.55534,405.0976,88.04408,0.0010768193293353451,3.2202474746131184e-93,0.0014642835699782758,0.06449022118227242,0.0005564322425982037,5.808218105347669e-94,30.484526732967797
SND2018101809320272,55.720257,32.54712,405.42526,88.271484,0.0011079477360581601,7.6317933228020146e-93,0.0015013014947906113,0.06449030369055135,0.0005725263023029854,1.3658690613649383e-93,30.356587605708533
SND2018101809320274,55.732704,32.53047,408.40634,88.446396,0.0012418633562985646,2.4157608297706524e-91,0.0016591344844700962,0.06449063405012857,0.0006417662955538716,4.191199208210189e-92,29.844326518122077
SND2018101809320275,55.73875,32.52216,408.6935,88.75679,0.0014166363136619974,1.3016832456329628e-89,0.0018620003588678909,0.06449101527798841,0.0007321372972178528,2.178779361694627e-90,29.253191481751774
SND2018101809320276,55.744724,32.513786,409.51498,89.01979,0.0016331339490381928,9.651557057724491e-88,0.002109062203683349,0.06449142703403772,0.0008440914964265273,1.554109641556138e-88,28.614723110509285
SND2018101809320301,55.708546,32.57526,405.57806,87.51699,0.0010788462806396362,3.4089318922347167e-93,0.0014666980195590577,0.06449022662702535,0.000557480212657424,6.145391076119529e-94,30.476083975931044
SND2018101809320302,55.714848,32.567055,404.9888,87.50479,0.001032674819276173,9.066762511464585e-94,0.0014115580132647296,0.06449009998928705,0.0005336090111299633,1.6540846558713742e-94,30.67245150207737
SND2018101809320303,55.721073,32.55885,404.59225,87.6032,0.0009995964769821371,3.383383530468745e-94,0.0013718668730550371,0.06449000573190257,0.0005165074649448553,6.227417645391885e-95,30.818609522265604
SND2018101809320304,55.727257,32.5505,405.29187,87.756744,0.0010247451882647524,7.179423581545909e-94,0.001402057689683456,0.0644900776716923,0.0005295093540496611,1.3125230697105047e-94,30.70705774180294
SND2018101809320305,55.7333,32.542187,407.5252,87.90043,0.0010584848451376582,1.9145541651037394e-93,0.0014424182913430337,0.06449017146176397,0.00054695303545053,3.4693878631347145e-94,30.561624511056827
SND2018101809320306,55.73927,32.53381,406.90353,88.21539,0.0011325569459106353,1.4842430872594537e-92,0.0015304755115292167,0.06449036729480451,0.0005852499704333817,2.6405153873340507e-93,30.25796158264433
SND2018101809320307,55.745144,32.52539,406.696,88.726906,0.001275079065358147,5.372090208340916e-91,0.001697947840762787,0.0644907104714612,0.0006589408564052806,9.253482121549507e-92,29.725826694916464
SND2018101809320308,55.750896,32.516945,408.58218,88.90356,0.001406251980512532,1.0417400982968899e-89,0.0018500373382322756,0.06449099397658277,0.0007267676246970255,1.7471800491204721e-90,29.286221523330685
SND2018101809320331,55.703037,32.595257,411.16983,86.197044,0.0012302561633224538,1.817904431182511e-91,0.001645541012314554,0.06449060686197407,0.0006357647226748371,3.162032209617485e-92,29.886484826283308
SND2018101809320332,55.709343,32.587055,411.13223,86.49084,0.0011173360562926078,9.853320979730028e-93,0.0015124406506140512,0.0644903281204583,0.0005773803155112986,1.759409442235519e-93,30.31870609342064
SND2018101809320333,55.715572,32.57885,406.57123,86.975266,0.001005214853596275,4.0091664474594776e-94,0.001378619771880708,0.06449002195946124,0.0005194121515933963,7.367969267150624e-95,30.793446620739577
SND2018101809320334,55.721756,32.5705,403.20715,86.90606,0.0009603499149168453,1.0061289567938197e-94,0.001324562309467311,0.06448988976615021,0.0004962173408030973,1.8721846111891754e-95,30.998429411098726
SND2018101809320335,55.727802,32.56219,404.1802,87.00824,0.0009381470728287911,4.95529200637462e-95,0.0012976951539121443,0.06448982204378667,0.00048473886695372985,9.279644865737035e-96,31.103441839160066
