SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2018101809320102,55.747116,32.446766,402.18634,90.46051,0.0213992540239766,0.1324526998843646,0.015565513490095367,0.05421284022677321,0.008587839503047803,0.060732140601359674,16.821851059559616
SND2018101809320132,55.741776,32.466858,410.8562,89.36609,0.015010143376715168,0.10045393631995003,0.01091816513588488,0.042980122936034995,0.006023794198271385,0.04555705934096324,20.368149710041326
SND2018101809320134,55.754196,32.450203,404.90915,90.68887,0.01825264961342416,0.11700398306098755,0.013276718126220995,0.04885167967961785,0.007325060266578646,0.05338504060888543,18.412309148960123
SND2018101809320172,55.736458,32.486866,407.57953,90.649445,0.010374325415842794,0.07531368868528432,0.007546136983560712,0.033747039228655094,0.004163371373778921,0.03376720154143112,24.06207124840378
SND2018101809320173,55.742687,32.478645,407.8193,89.74942,0.011324302260436027,0.08063898237528283,0.00823713664986807,0.03573949931520385,0.0045446112368058116,0.03625304250102793,23.185901097699432
SND2018101809320174,55.748863,32.470295,407.7011,89.818146,0.01282741039024134,0.08886925669944737,0.009330476158121116,0.03877808440627552,0.005147830926615148,0.040107633063901374,21.939568506278643
SND2018101809320175,55.7549,32.461987,410.32562,90.097244,0.014063063306040914,0.09547637302375152,0.010229272541789625,0.041184720348149996,0.005643716853782055,0.0432123785969874,21.01989432202676
SND2018101809320176,55.760868,32.45361,408.1772,90.545715,0.016047890456352867,0.10582927696962718,0.01167300762475431,0.04490306094296517,0.006440257564456943,0.04809429527052221,19.699637634871706
SND2018101809320201,55.72476,32.515244,412.79315,88.847275,0.006934638415291327,0.055013049499872436,0.005044157505734029,0.02592406745772797,0.002782973726816151,0.024359589284201268,28.090122553832376
SND2018101809320202,55.731068,32.50702,409.17844,89.55215,0.007565745227134815,0.05887926920393971,0.005503215638435021,0.027445394343214354,0.0030362462943233845,0.026141951031240274,27.219103164291614
SND2018101809320204,55.743496,32.490368,408.23065,90.15286,0.009170595799804141,0.06840819753610049,0.006670561154801279,0.03112919183970228,0.0036802967424846332,0.03055418733945447,25.29538911809941
SND2018101809320205,55.749535,32.482056,408.36743,89.89207,0.010116745555579251,0.07385156185894892,0.00735877705105013,0.03319608457858385,0.0040600007377426224,0.03308588277158119,24.313491419609367
SND2018101809320206,55.7555,32.47368,409.12936,89.82219,0.01136114858047769,0.08084350127442282,0.008263938139818433,0.035815590968451994,0.004559398214073393,0.036348644586963505,23.15341653065098
SND2018101809320231,55.71935,32.535294,407.3084,88.538055,0.005871198380695188,0.04831603986692706,0.004270626326288847,0.023247136548079864,0.0023561993949635244,0.021284178297164554,29.75482402239573
SND2018101809320232,55.725662,32.52707,410.60464,88.5284,0.006135020085610914,0.050000731672887086,0.004462526487960117,0.023925851114408852,0.002462074976266412,0.02205631810076685,29.315278165877825
SND2018101809320234,55.738102,32.510418,408.4164,89.36228,0.006974140363072901,0.05525725177217018,0.005072890661590313,0.026020655012366726,0.0027988264470663908,0.02447202513565089,28.03332094008998
SND2018101809320235,55.744144,32.50211,406.9191,89.969315,0.007575563067914526,0.058938838960061975,0.005510356996396798,0.027468706693398504,0.00304018634012069,0.026169450403334772,27.20613487652633
SND2018101809320236,55.75011,32.493732,413.81393,89.2826,0.008395231274873457,0.06385467928536002,0.006106572010178413,0.029379874513204892,0.0033691314051789052,0.028442472423402348,26.17877329412156
SND2018101809320237,55.75599,32.485317,411.78558,89.47593,0.009016233515028399,0.06750865279711563,0.006558280220926357,0.030785134457964415,0.003618348857502636,0.030136564618051212,25.465144922117346
SND2018101809320238,55.76174,32.47687,410.6831,89.74745,0.010052151877848156,0.07348362264239852,0.007311792527151694,0.033057164363796514,0.004034078332380047,0.03291451516264539,24.377544398994164
SND2018101809320271,55.71394,32.55534,405.0976,88.04408,0.005458033147083622,0.045643639559260644,0.0039700958026447275,0.02216262993809443,0.002190390030276333,0.020061551773951605,30.484526732967797
SND2018101809320272,55.720257,32.54712,405.42526,88.271484,0.005528311354834118,0.046101267912632,0.00402121517295429,0.0223490507539877,0.0022185937222390004,0.02027072013825154,30.356587605708533
SND2018101809320274,55.732704,32.53047,408.40634,88.446396,0.005818884151827189,0.04798001373912483,0.004232573699115188,0.023111310723254775,0.0023352049154017267,0.021130295120473163,29.844326518122077
SND2018101809320275,55.73875,32.52216,408.6935,88.75679,0.006173228881160232,0.05024338580425001,0.004490319023246479,0.024023304829908023,0.002477408735257013,0.022167619026505516,29.253191481751774
SND2018101809320276,55.744724,32.513786,409.51498,89.01979,0.00658022446273187,0.05280807671964752,0.004786361829610872,0.0250487922583688,0.0026407421266486314,0.02334528132136467,28.614723110509285
SND2018101809320301,55.708546,32.57526,405.57806,87.51699,0.0054626431776541255,0.04567369815534502,0.003973449073415499,0.02217488386213699,0.002192240104236821,0.020075288121613875,30.476083975931044
SND2018101809320302,55.714848,32.567055,404.9888,87.50479,0.00535642094804557,0.04497967124589135,0.0038961845320409517,0.021891619560831875,0.0021496115407125,0.019758219785235065,30.67245150207737
SND2018101809320303,55.721073,32.55885,404.59225,87.6032,0.0052787019065357104,0.04446995595627761,0.003839652804920765,0.021683135021507923,0.00211842173128879,0.019525478323011956,30.818609522265604
SND2018101809320304,55.727257,32.5505,405.29187,87.756744,0.005337916426368696,0.044858459130958955,0.0038827246057525676,0.021842075686278703,0.002142185400433797,0.019702863498030226,30.70705774180294
SND2018101809320305,55.7333,32.542187,407.5252,87.90043,0.005416114722752901,0.04537006323320223,0.00393960493606254,0.02205104204136485,0.0021735675419797995,0.01993654785472966,30.561624511056827
SND2018101809320306,55.73927,32.53381,406.90353,88.21539,0.005583104649239994,0.04645717496682309,0.004061071037195437,0.022493828920742497,0.0022405830877408857,0.020433451760807717,30.25796158264433
SND2018101809320307,55.745144,32.52539,406.696,88.726906,0.005888247994624455,0.04842541070969662,0.004283027973342505,0.02329131284606338,0.0023630416590840124,0.021334273861055006,29.725826694916464
SND2018101809320308,55.750896,32.516945,408.58218,88.90356,0.0061528723179118975,0.05011414786171917,0.004475511948219523,0.023971410257727158,0.0024692393430990225,0.022108337328436943,29.286221523330685
SND2018101809320331,55.703037,32.595257,411.16983,86.197044,0.005794404358295507,0.0478225461884793,0.004214767444933375,0.023047607986294398,0.002325380809492134,0.02105819755768795,29.886484826283308
SND2018101809320332,55.709343,32.587055,411.13223,86.49084,0.005549293150302323,0.04623764547626188,0.004036477033019171,0.022404548407408183,0.002227014029403205,0.02033307026891102,30.31870609342064
SND2018101809320333,55.715572,32.57885,406.57123,86.975266,0.005292001377808579,0.044557296265128825,0.0038493266514612575,0.021718886181821356,0.0021237590072816274,0.01956535135665303,30.793446620739577
SND2018101809320334,55.721756,32.5705,403.20715,86.90606,0.005184628694146293,0.04385076530326115,0.0037712252861454177,0.021429356189404034,0.002080668749403008,0.01924289182975046,30.998429411098726
SND2018101809320335,55.727802,32.56219,404.1802,87.00824,0.005130468521643819,0.04349316147305274,0.003731829945785956,0.021282528726640434,0.0020589334651548987,0.019079760468788256,31.103441839160066
SND2018101809320336,55.73378,32.553814,405.28015,87.1551,0.005115127676764587,0.04339171953168366,0.003720671233073372,0.021240842797875366,0.002052776955515993,0.01903349446240716,31.133388083471456
SND2018101809320337,55.73966,32.5454,405.67325,87.67512,0.005222948598223124,0.04410328342158671,0.003799098640196861,0.02153292112665523,0.0020960470979012914,0.019358117148160856,30.924790607054724
