SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2018101809320102,55.747116,32.446766,402.18634,90.46051,-0.2883513232023866,-0.06361349820285786,-0.34337477053200877,0.11726706880549492,-0.3777645740965887,0.15760798871236292,16.821851059559616
SND2018101809320132,55.741776,32.466858,410.8562,89.36609,0.05787936353148378,0.17897672146589144,0.07001647393913518,0.07217002074511371,0.05473656875132642,0.07621201048038279,20.368149710041326
SND2018101809320134,55.754196,32.450203,404.90915,90.68887,-0.15481723606684186,0.050246661069306135,-0.17963943812387223,0.10919213133863773,-0.20581155199415846,0.11846581990871861,18.412309148960123
SND2018101809320172,55.736458,32.486866,407.57953,90.649445,0.0027035664201504163,0.08730571111124563,-0.0006880981004526696,0.05622318919953602,-0.01202009248313371,0.05800825481572247,24.06207124840378
SND2018101809320173,55.742687,32.478645,407.8193,89.74942,0.04505254674141343,0.10120249987324767,0.044008642380285165,0.07025274601825038,0.03428753835148012,0.07079047574911891,23.185901097699432
SND2018101809320174,55.748863,32.470295,407.7011,89.818146,0.049772157447247806,0.1303003560151406,0.05209487988838237,0.06346106588311874,0.03453706803513461,0.08093783667217723,21.939568506278643
SND2018101809320175,55.7549,32.461987,410.32562,90.097244,0.05187687743072479,0.17916082710979297,0.06549151732784644,0.04875354625395226,0.04117552991978122,0.0982135338871352,21.01989432202676
SND2018101809320176,55.760868,32.45361,408.1772,90.545715,-0.04118406779266242,0.15723770084263777,-0.043227258439306346,0.08288373901579149,-0.06744463660875992,0.11608591610918756,19.699637634871706
SND2018101809320201,55.72476,32.515244,412.79315,88.847275,0.015676303519296168,0.08252220863079808,0.015134360971864625,0.022522579935513293,0.008519980747002318,0.03445110108088354,28.090122553832376
SND2018101809320202,55.731068,32.50702,409.17844,89.55215,0.0056343049765942834,0.09512913257047592,0.004905261980062048,0.03741749418562497,-0.0036743576244220133,0.04612270867644285,27.219103164291614
SND2018101809320204,55.743496,32.490368,408.23065,90.15286,0.02801875403654401,0.1091106854244947,0.029324096308532506,0.052714088754912146,0.02212404214053775,0.05233196508429074,25.29538911809941
SND2018101809320205,55.749535,32.482056,408.36743,89.89207,0.030731835631107127,0.12263173567235544,0.032678867845869035,0.05999681316443857,0.02265786980862773,0.059992039793251364,24.313491419609367
SND2018101809320206,55.7555,32.47368,409.12936,89.82219,0.03663232909724169,0.1538153053183559,0.041049682579613694,0.06186738327224205,0.028561978359064124,0.062071390999455946,23.15341653065098
SND2018101809320231,55.71935,32.535294,407.3084,88.538055,0.010238723154219706,0.05392912407106472,0.010014785364633736,0.004277116428988312,0.0021724329344120614,0.031804223721686085,29.75482402239573
SND2018101809320232,55.725662,32.52707,410.60464,88.5284,0.012067385547468782,0.04997944349960677,0.008131840458996011,0.030045863182467897,0.0014650172019152602,0.041704920394114574,29.315278165877825
SND2018101809320234,55.738102,32.510418,408.4164,89.36228,0.01357299885168361,0.11982279182219482,0.01357753643290369,0.042847973971093974,0.007744178514379248,0.04615068700163922,28.03332094008998
SND2018101809320235,55.744144,32.50211,406.9191,89.969315,0.018501473192918658,0.11283400605405007,0.0166587065551312,0.04826081635327919,0.01143999523202579,0.04882857590013577,27.20613487652633
SND2018101809320236,55.75011,32.493732,413.81393,89.2826,0.02285375638006597,0.10723729512863761,0.02176361413258513,0.05302793803568437,0.012281105822680239,0.06907328573195257,26.17877329412156
SND2018101809320237,55.75599,32.485317,411.78558,89.47593,0.02451225684214805,0.11670368670979533,0.025615505147655676,0.054861350928468104,0.015566737540182203,0.06295559630969895,25.465144922117346
SND2018101809320238,55.76174,32.47687,410.6831,89.74745,0.029080007861962708,0.12301435998294168,0.03092306919133924,0.06040887711997073,0.02036425067808981,0.060022287760653895,24.377544398994164
SND2018101809320271,55.71394,32.55534,405.0976,88.04408,0.00992977785501112,0.03513349251884418,0.0050571157551277945,0.015161888963441072,-0.00021265691852192576,0.03168207107436585,30.484526732967797
SND2018101809320272,55.720257,32.54712,405.42526,88.271484,0.008199035513421576,0.08121023678675937,0.004299920908998482,0.021710328574268432,0.0028488764140672954,0.0211782869563301,30.356587605708533
