SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2018101809320102,55.747116,32.446766,402.18634,90.46051,-0.2883513291275012,-0.0636134720248315,-0.3433748166620626,0.11726737114477453,-0.377764536324535,0.15760769434202895,16.821851059559616
SND2018101809320132,55.741776,32.466858,410.8562,89.36609,0.0578793697774714,0.178976683296987,0.07001644923295142,0.07217011989164829,0.054736520309481396,0.0762122262101397,20.368149710041326
SND2018101809320134,55.754196,32.450203,404.90915,90.68887,-0.1548172456977182,0.050246728579564956,-0.17963944438330237,0.10919209435022355,-0.20581148753039008,0.11846544297991607,18.412309148960123
SND2018101809320172,55.736458,32.486866,407.57953,90.649445,0.002703570884187748,0.08730569768089882,-0.0006880648314840853,0.05622302468508787,-0.012020134621535951,0.05800851377339959,24.06207124840378
SND2018101809320173,55.742687,32.478645,407.8193,89.74942,0.045052548993342136,0.10120248430706226,0.04400862044363924,0.07025283895691956,0.03428747355334747,0.07079072704874009,23.185901097699432
SND2018101809320174,55.748863,32.470295,407.7011,89.818146,0.04977215217825187,0.1303003675723241,0.052094853286179736,0.06346116367451958,0.034537110984723396,0.0809376243754941,21.939568506278643
SND2018101809320175,55.7549,32.461987,410.32562,90.097244,0.05187688476867107,0.17916073758630874,0.06549159317129437,0.04875317543187131,0.04117554803380796,0.09821344258247248,21.01989432202676
SND2018101809320176,55.760868,32.45361,408.1772,90.545715,-0.04118407405669224,0.1572377323378359,-0.04322719467550419,0.0828833918029923,-0.0674446719932771,0.1160860406868646,19.699637634871706
SND2018101809320201,55.72476,32.515244,412.79315,88.847275,0.015676305820041612,0.08252219408775362,0.015134354372356943,0.022522674691396762,0.008520188452241631,0.03445037022418347,28.090122553832376
SND2018101809320202,55.731068,32.50702,409.17844,89.55215,0.005634294436899261,0.09512918032910582,0.00490528780142384,0.037417360730978906,-0.003674334164477647,0.04612256412425727,27.219103164291614
SND2018101809320204,55.743496,32.490368,408.23065,90.15286,0.02801876028107053,0.10911063876968602,0.029324065602869223,0.0527142099871286,0.02212396461961418,0.052332263855923315,25.29538911809941
SND2018101809320205,55.749535,32.482056,408.36743,89.89207,0.03073183817127483,0.12263172301441655,0.0326788540728454,0.059996857971502074,0.022657845206797946,0.059992172041770174,24.313491419609367
SND2018101809320206,55.7555,32.47368,409.12936,89.82219,0.03663233401064714,0.15381525645800298,0.04104973808883605,0.06186707590416947,0.02856204146877408,0.06207113322583354,23.15341653065098
SND2018101809320231,55.71935,32.535294,407.3084,88.538055,0.01023872923991686,0.053929055321812885,0.01001481930451481,0.004276984818907723,0.0021724404799582956,0.03180407962765184,29.75482402239573
SND2018101809320232,55.725662,32.52707,410.60464,88.5284,0.012067365563074606,0.04997956708735168,0.008131822013700276,0.03004588362092078,0.0014649148988650916,0.04170562096747202,29.315278165877825
SND2018101809320234,55.738102,32.510418,408.4164,89.36228,0.013573004613620553,0.11982278450262415,0.013577558867974982,0.04284786460819273,0.007744147812067283,0.046150893793687996,28.03332094008998
SND2018101809320235,55.744144,32.50211,406.9191,89.969315,0.01850147515003885,0.1128339853596195,0.016658682983760952,0.04826090203191146,0.011440033344438282,0.04882841273762262,27.20613487652633
SND2018101809320236,55.75011,32.493732,413.81393,89.2826,0.02285375866255033,0.10723727669252757,0.021763589397365016,0.05302801751043128,0.012281083299685094,0.06907341630731739,26.17877329412156
SND2018101809320237,55.75599,32.485317,411.78558,89.47593,0.024512257655199255,0.11670365236804256,0.025615555638648455,0.05486109650908932,0.015566772126010786,0.06295544518873411,25.465144922117346
SND2018101809320238,55.76174,32.47687,410.6831,89.74745,0.029080009344979316,0.12301435462279202,0.03092312503482529,0.06040863533770395,0.020364209164768925,0.06002241980423129,24.377544398994164
SND2018101809320271,55.71394,32.55534,405.0976,88.04408,0.00992976481646664,0.03513354708452582,0.005057134028815818,0.015161774201991706,-0.0002125558106110325,0.03168148651770388,30.484526732967797
SND2018101809320272,55.720257,32.54712,405.42526,88.271484,0.008199036008086025,0.08121017127980654,0.004299963901432797,0.021710136787910287,0.0028488851926900733,0.02117820367409479,30.356587605708533
SND2018101809320274,55.732704,32.53047,408.40634,88.446396,0.009928836495695828,0.06890564425854263,0.006387398045621219,0.03255362535525137,0.0031095088908408485,0.032514541220049015,29.844326518122077
