SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],,,,,
2018101809322431,55.35556,33.855484,403.44916,93.556915,,,,,
2018101809322471,55.35001,33.875473,405.14417,93.5196,,,,,
2018101809322472,55.356606,33.86735,403.35577,93.565025,,,,,
2018101809322473,55.363132,33.859196,403.57013,93.55611,,,,,
2018101809322474,55.369602,33.850933,404.01947,93.47856,,,,,
2018101809322501,55.344467,33.89548,403.0729,93.50028,,,,,
2018101809322502,55.351067,33.887363,405.28802,93.47338,,,,,
2018101809322503,55.3576,33.87921,405.9118,93.38079,,,,,
2018101809322504,55.36408,33.870956,403.70148,93.546585,,,,,
2018101809322505,55.37041,33.86274,403.55908,93.68888,,,,,
2018101809322506,55.376675,33.854454,403.54276,93.67459,,,,,
2018101809322531,55.338936,33.91553,401.66577,93.773964,,,,,
2018101809322532,55.345543,33.907413,400.48553,93.72783,,,,,
2018101809322533,55.35208,33.899265,402.88867,93.673096,,,,,
2018101809322534,55.35856,33.89101,404.39676,93.60309,,,,,
2018101809322535,55.3649,33.882793,405.56787,93.544495,,,,,
2018101809322536,55.371166,33.87451,405.73,93.48062,,,,,
2018101809322537,55.37734,33.866184,403.90015,93.475975,,,,,
2018101809322538,55.383396,33.857822,403.59866,93.69052,,,,,
2018101809322571,55.333405,33.935577,403.32172,93.77682,,,,,
2018101809322572,55.340015,33.927464,401.90317,93.79417,,,,,
2018101809322573,55.346558,33.919315,401.90262,93.88484,,,,,
2018101809322574,55.353043,33.91106,400.54672,93.60629,,,,,
2018101809322575,55.359386,33.902847,404.1242,93.6221,,,,,
2018101809322576,55.365654,33.894566,404.9521,93.635635,,,,,
2018101809322577,55.371834,33.886242,405.85425,93.487526,,,,,
2018101809322578,55.37789,33.87788,406.00314,93.49271,,,,,
2018101809322601,55.32783,33.955597,401.98026,93.79586,,,,,
2018101809322602,55.334435,33.947475,401.8798,93.77068,,,,,
2018101809322603,55.340973,33.93932,404.18185,93.65117,,,,,
2018101809322604,55.347446,33.93106,402.64258,93.77287,,,,,
2018101809322605,55.353783,33.922836,400.80786,93.71389,,,,,
2018101809322606,55.360046,33.91455,402.12286,93.67201,,,,,
2018101809322607,55.366215,33.90622,403.00668,93.78327,,,,,
2018101809322608,55.37227,33.89785,403.4883,93.61816,,,,,
2018101809322631,55.32215,33.97554,404.80887,93.58282,,,,,
2018101809322632,55.32876,33.967422,405.834,93.56249,,,,,
2018101809322633,55.3353,33.959267,404.14423,93.60913,,,,,
2018101809322634,55.34178,33.951008,403.2525,93.71546,,,,,
2018101809322635,55.34812,33.942787,403.66876,93.834885,,,,,
2018101809322636,55.35439,33.934498,403.3839,93.79343,,,,,
2018101809322637,55.36056,33.92617,401.87512,93.84846,,,,,
2018101809322638,55.366623,33.9178,402.74094,93.85207,,,,,
2018101809322671,55.316452,33.995525,404.60837,93.73562,,,,,
2018101809322672,55.323063,33.987415,401.86734,93.64452,,,,,
2018101809322673,55.329628,33.97921,404.20908,93.72923,,,,,
2018101809322674,55.336113,33.970955,405.26282,93.60091,,,,,
2018101809322675,55.342457,33.962734,404.70236,93.69451,,,,,
2018101809322676,55.34873,33.95445,404.72388,93.70729,,,,,
2018101809322677,55.354908,33.94612,403.42007,93.810234,,,,,
2018101809322678,55.361,33.937744,403.18152,93.79766,,,,,
2018101809322701,55.310757,34.0155,404.56247,93.58457,,,,,
2018101809322702,55.317375,34.007374,403.9256,93.64433,,,,,
2018101809322703,55.323944,33.999172,404.21896,93.66101,,,,,
2018101809322704,55.330433,33.99092,402.68317,93.63308,,,,,
