SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2019062105215576,127.22178,-24.291756,408.3264,96.212425,7.8920994354392e-06,0.07425538002111624,1.3124240265066757e-06,0.04235456609918602,3.2902016293719296e-07,-1.4172038382197458e-19,74.7146173168652
SND2019062105215577,127.20888,-24.290173,408.59558,96.35,8.262619142735846e-06,0.07427740722515791,1.3843875432068176e-06,0.04236713020793201,3.48845088772091e-07,-1.694458182897228e-19,74.41802011955367
SND2019062105215578,127.195984,-24.288519,407.56494,96.423065,8.957991691295637e-06,0.07431621818068936,1.5208601310789045e-06,0.04238926760970622,3.86710310355383e-07,-2.321133144346718e-19,73.89564298112874
SND2019062105215601,127.28157,-24.278471,409.0778,96.11436,7.451548775604634e-06,0.07422781153872617,1.2275771766515696e-06,0.042338841297706195,3.0578029347150426e-07,-1.133131341666265e-19,75.08595204394281
SND2019062105215602,127.268684,-24.277328,408.69244,96.063995,8.13459716076331e-06,0.07426990937050118,1.3594617858698518e-06,0.04236285350258663,3.419669211589683e-07,-1.5944820038530542e-19,74.51896916171602
SND2019062105215603,127.25573,-24.276089,406.1941,96.126854,8.556700411425565e-06,0.07429420253393354,1.4418830392776615e-06,0.04237671009312671,3.647558371806864e-07,-1.9417027600708787e-19,74.19192969925952
SND2019062105215604,127.242744,-24.274752,407.73373,96.509415,9.318975748735812e-06,0.07433520089814774,1.5924013450887052e-06,0.04240009517211453,4.066926488394718e-07,-2.707197563850192e-19,73.64024390483142
SND2019062105215605,127.22986,-24.273329,409.2296,96.270424,1.0234458788070645e-05,0.07438024624308674,1.775841831396933e-06,0.04242578861061192,4.583168482605279e-07,-3.899536939144787e-19,73.03445147126381
SND2019062105215606,127.21694,-24.271818,408.28867,96.28181,1.0725216944531848e-05,0.0744027712364306,1.8753046935883527e-06,0.0424386366536654,4.865264547582792e-07,-4.679848059839868e-19,72.73166162471469
SND2019062105215607,127.20404,-24.270237,407.994,96.355156,1.1638615247487078e-05,0.07444209349392336,2.062393476678822e-06,0.04246106569723998,5.399737503976478e-07,-6.433802522685822e-19,72.20329595380433
SND2019062105215608,127.191154,-24.268583,407.36407,96.40957,1.2616170869178941e-05,0.07448091658444833,2.2652990703640268e-06,0.04248321002069968,5.984677664050113e-07,-8.807999474464154e-19,71.68191122777871
SND2019062105215631,127.276726,-24.25853,404.71613,96.267685,1.0509979960071339e-05,0.0743930210012674,1.8315885117999348e-06,0.04243307521179299,4.741095278898725e-07,-4.3245791542819532e-19,72.86271687877107
SND2019062105215632,127.26384,-24.257387,407.40106,96.40964,1.1469804412996649e-05,0.07443506253077868,2.0276294650898383e-06,0.042457055302394964,5.300058267577601e-07,-6.077934167701749e-19,72.29774917063924
SND2019062105215633,127.25089,-24.25615,409.01413,96.20469,1.2061608556365592e-05,0.07445927553766049,2.1498629149452014e-06,0.04247086617239713,5.651248619514424e-07,-7.393458802922648e-19,71.97251172495443
SND2019062105215634,127.23791,-24.254812,407.40707,96.327,1.3132810654834796e-05,0.07450024367106856,2.3735915015988832e-06,0.04249423400801918,6.298961704904722e-07,-1.0298140063302733e-18,71.42245443880739
SND2019062105215635,127.22502,-24.25339,406.0345,96.35021,1.4283341576642858e-05,0.07454070139799403,2.6172326555951614e-06,0.04251731071261345,7.011016515610448e-07,-1.4282339523991196e-18,70.8795468787365
SND2019062105215636,127.212105,-24.25188,405.68118,96.49262,1.5107999985230424e-05,0.07456775467727558,2.793867648955594e-06,0.04253274164711546,7.531276187710612e-07,-1.7771989654147896e-18,70.51667973772543
SND2019062105215637,127.19921,-24.2503,407.87756,96.54819,1.639222640547475e-05,0.07460709276689366,3.0720674657869802e-06,0.0425551797211845,8.357046455203751e-07,-2.4418656975140667e-18,69.98927057721667
SND2019062105215638,127.186325,-24.248646,407.00534,96.494255,1.7767014425225806e-05,0.07464594663983605,3.3738587452872748e-06,0.0425773416026438,9.26099181878735e-07,-3.341470384218125e-18,69.46862625433565
SND2019062105215671,127.27188,-24.238588,405.67526,96.21782,1.4669116041995231e-05,0.07455354490394349,2.6996604508586073e-06,0.042524636526871294,7.253392570954957e-07,-1.5844360357308182e-18,70.70725980127041
SND2019062105215672,127.258995,-24.237448,404.7991,96.318245,1.6170505695036203e-05,0.07460052478277289,3.023773432350436e-06,0.04255143340519364,8.213162230366554e-07,-2.3157325447707286e-18,70.0773087649827
SND2019062105215673,127.24605,-24.236208,406.03244,96.34552,1.7000020980217912e-05,0.07462465457878839,3.2049989110476687e-06,0.04256519681250506,8.754207785238762e-07,-2.8138415095424384e-18,69.75390762947798
SND2019062105215674,127.23307,-24.234865,405.79987,96.391975,1.850532817720884e-05,0.07466559687199922,3.5375353447076955e-06,0.04258854990912314,9.754552470357126e-07,-3.915627628411043e-18,69.2054150944433
SND2019062105215675,127.220184,-24.233435,406.18967,96.556656,1.941138216661684e-05,0.07468867351926758,3.739859109727842e-06,0.04260171261035495,1.0367681424029643e-06,-4.716825464243587e-18,68.89639617732149
SND2019062105215676,127.20727,-24.23192,407.10062,96.428024,2.128031932512132e-05,0.07473307089081364,4.162030236559098e-06,0.04262703645096067,1.1657160632097553e-06,-6.747215563986142e-18,68.30214032750911
SND2019062105215677,127.194374,-24.230333,406.88675,96.69189,2.3086722470655494e-05,0.07477244407361706,4.575890963479853e-06,0.04264949454185057,1.2933536897185268e-06,-9.266760584459492e-18,67.77542820290421
