SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2019062105215576,127.22178,-24.291756,408.3264,96.212425,0.012385103574484123,0.06961084851377689,-0.002187871416332872,0.03888280980515972,0.00282614587459187,-0.010940524578625233,74.7146173168652
SND2019062105215577,127.20888,-24.290173,408.59558,96.35,0.016424089840977443,0.0016366555385277312,-0.000773574299592418,0.02919157933798816,-0.0014470735543885953,0.024281901999981377,74.41802011955367
SND2019062105215578,127.195984,-24.288519,407.56494,96.423065,0.023726647532492578,-0.05841075042625062,-0.0030675920295349327,0.04136644926465288,-0.002200145536537919,0.031271132888431634,73.89564298112874
SND2019062105215601,127.28157,-24.278471,409.0778,96.11436,0.01106250211442853,0.0173830931171531,0.0014027894029208113,0.010547603012612004,-0.0017646548567405015,0.016988080480814884,75.08595204394281
SND2019062105215602,127.268684,-24.277328,408.69244,96.063995,0.01364717218791486,0.00778346024398408,-0.005267609426554573,0.048195670888181545,-0.0027140418047445175,0.018190883299554626,74.51896916171602
SND2019062105215603,127.25573,-24.276089,406.1941,96.126854,0.010808620563868186,0.03972044520808588,-0.0003920810514917793,0.025115342235109823,-0.0009162829894759555,0.017929454664102545,74.19192969925952
SND2019062105215604,127.242744,-24.274752,407.73373,96.509415,0.016523499652709543,-0.0075354445194499445,0.0036883110556665787,0.0014520038111362722,-0.00045796046564911826,0.02229089476908254,73.64024390483142
SND2019062105215605,127.22986,-24.273329,409.2296,96.270424,0.01848887581202656,-0.016380835748723004,0.0012428881063014986,0.018034661929905334,0.0009566672611859597,0.008268604642696405,73.03445147126381
SND2019062105215606,127.21694,-24.271818,408.28867,96.28181,0.014464980695391908,0.016321861990360412,-0.005040504087993538,0.041867165850818705,0.0004986503524802345,0.007829249734396151,72.73166162471469
SND2019062105215607,127.20404,-24.270237,407.994,96.355156,0.013498522763761005,0.016563380046167416,0.003437293871701669,0.004114850221005103,-0.0003851612100764327,0.010143646604388327,72.20329595380433
SND2019062105215608,127.191154,-24.268583,407.36407,96.40957,0.01843727407087325,-0.019139051359177334,0.000940293169425086,0.02406775548233417,-0.0018639051066011087,0.02788709591727497,71.68191122777871
