SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2019100509313602,56.168926,30.7366,404.36877,81.34764,0.1840704,0.16915104,0.17577326,0.057909295,0.16835901,0.10912509,3.7966647
SND2019100509313634,56.174313,30.7394,407.39923,81.835754,0.2491332,0.20933345,0.23252138,0.06806218,0.23806854,0.13035527,2.9824839
SND2019100509313635,56.17949,30.730759,406.0591,82.31821,0.43171376,0.3083001,0.3865238,0.09127284,0.4466948,0.18003772,1.5035889
SND2019100509313671,56.152866,30.7853,407.08508,83.92459,0.028955322,0.0459866,0.031799812,0.021578765,0.020265859,0.036825065,8.771993
SND2019100509313672,56.158325,30.77673,404.5394,83.438034,0.037204023,0.05486436,0.04009184,0.024667732,0.027000807,0.042665984,8.09771
SND2019100509313674,56.169037,30.759401,407.76456,82.77578,0.06184462,0.078471735,0.06413303,0.032354143,0.048308276,0.057506103,6.7306294
SND2019100509313675,56.174217,30.750763,407.39243,82.533714,0.081948966,0.09567408,0.08319203,0.037598792,0.06667286,0.06784391,5.973471
SND2019100509313676,56.179325,30.742064,414.02878,81.59597,0.18376982,0.16895649,0.17550792,0.057858802,0.16804434,0.1090204,3.801061
SND2019100509313677,56.184338,30.73333,409.8033,82.2241,0.47747317,0.33096656,0.4242497,0.096315,0.50129604,0.19101228,1.2325842
SND2019100509313701,56.147556,30.80532,406.50885,84.37293,0.013428514,0.02676969,0.015629763,0.014319259,0.008409779,0.02345034,10.838918
SND2019100509313702,56.153015,30.796755,407.44366,84.221634,0.017184788,0.031847358,0.019632267,0.016333971,0.011153175,0.02710581,10.175445
SND2019100509313704,56.163734,30.779432,406.1982,83.63535,0.030090794,0.04724926,0.03295087,0.022026358,0.021178115,0.037666485,8.668521
SND2019100509313705,56.168922,30.770794,408.42664,83.21603,0.038845215,0.05655777,0.041724037,0.025242677,0.02836853,0.043761577,7.9815874
SND2019100509313706,56.174034,30.762096,411.56332,82.753654,0.046958,0.06463946,0.049719967,0.02793186,0.035247352,0.04891849,7.471379
SND2019100509313731,56.14224,30.825346,404.18393,84.82093,0.006708609,0.016421169,0.008228918,0.00988682,0.0037999928,0.015600146,12.705748
SND2019100509313732,56.1477,30.816782,404.27435,84.736534,0.008282008,0.01904757,0.009998346,0.011063553,0.004836427,0.01765516,12.138982
SND2019100509313734,56.158432,30.799461,407.65332,84.28481,0.013468157,0.02682532,0.015672408,0.014341806,0.008438205,0.023490977,10.830988
SND2019100509313735,56.163624,30.790827,406.64395,84.07803,0.01803746,0.03295211,0.020531073,0.016761648,0.011788877,0.027887832,10.045178
SND2019100509313736,56.16874,30.78213,405.98856,83.70245,0.027338985,0.04416362,0.03015536,0.020927249,0.018976228,0.035603426,8.926507
SND2019100509313738,56.1787,30.764624,408.4161,82.98266,0.03845758,0.05615974,0.04133899,0.025107916,0.028044714,0.043504555,8.008566
SND2019100509313771,56.136917,30.84537,405.11102,84.84902,0.003599508,0.010592514,0.0046280203,0.0070915595,0.0018632596,0.010822291,14.380527
SND2019100509313772,56.142387,30.836807,405.97656,84.90137,0.0042737653,0.011953872,0.0054240697,0.0077721416,0.0022679283,0.011970584,13.918659
SND2019100509313774,56.153122,30.81949,404.66882,84.76866,0.0065849284,0.016207395,0.008088579,0.009789112,0.0037199075,0.015430575,12.755804
SND2019100509313775,56.158314,30.810854,405.34833,84.73809,0.008316551,0.01910348,0.0100368885,0.01108816,0.004859528,0.017698376,12.127785
SND2019100509313776,56.163433,30.802158,406.26697,84.47167,0.010781098,0.022934461,0.012758428,0.012735661,0.0065406687,0.020612843,11.429604
SND2019100509313778,56.173397,30.78465,405.58136,83.85259,0.028633416,0.045626,0.03147287,0.02145039,0.020008167,0.036584057,8.802066
SND2019100509313801,56.131557,30.86538,404.37637,85.14,0.0017258,0.0063122613,0.0023457324,0.0047901263,0.00080321304,0.007027655,16.357964
SND2019100509313802,56.13703,30.856817,406.29013,85.06285,0.002179531,0.007439957,0.0029106305,0.00542566,0.0010492286,0.008060282,15.730066
SND2019100509313804,56.14777,30.8395,407.3614,84.70937,0.0034147322,0.010206636,0.0044079735,0.0068948776,0.0017541862,0.010492455,14.5222845
SND2019100509313805,56.15297,30.830866,405.51044,84.697075,0.0042004567,0.011809111,0.005338009,0.0077006985,0.0022234528,0.011849553,13.965201
SND2019100509313806,56.158092,30.822172,405.4514,84.815216,0.005314885,0.0139374565,0.0066351457,0.008731242,0.0029107933,0.013605868,13.332195
SND2019100509313808,56.168064,30.804668,406.13028,84.52669,0.008812898,0.019899437,0.010589397,0.011436585,0.005192922,0.01831133,11.971849
SND2019100509313831,56.12619,30.885386,405.24753,85.27337,0.00073605345,0.0034640017,0.0010670283,0.00303965,0.00030283502,0.00426038,18.650229
SND2019100509313832,56.131668,30.876825,404.1544,85.25097,0.0009654838,0.0041933055,0.001371207,0.0035133052,0.0004131333,0.004996403,17.92036
SND2019100509313834,56.142418,30.859512,406.22812,85.062874,0.0016258283,0.006052508,0.0022198411,0.0046399673,0.0007501803,0.0067856144,16.518484
SND2019100509313835,56.14762,30.85088,404.96884,85.127174,0.0021226902,0.00730279,0.0028403928,0.005349673,0.0010179661,0.007936148,15.80115
SND2019100509313836,56.15275,30.842186,405.5927,85.02986,0.0027328865,0.008724948,0.0035877093,0.0061220387,0.0013593925,0.009205789,15.121457
SND2019100509313838,56.16273,30.824686,405.52448,84.74802,0.0043546343,0.0121127125,0.0055188783,0.007850292,0.0023171187,0.012103108,13.868234
SND2019100509313871,56.120823,30.90539,406.38025,85.186356,0.00028734314,0.0017861217,0.00044725108,0.0018398825,0.00010317966,0.0024519775,21.180511
SND2019100509313872,56.126305,30.896832,407.4203,84.866035,0.00039512807,0.0022352524,0.0006003852,0.0021808457,0.00014857516,0.0029564255,20.323658
SND2019100509313874,56.13708,30.879541,406.06107,84.974724,0.0007071819,0.0033677563,0.0010282807,0.00297542,0.00028927682,0.0041614207,18.757868
SND2019100509313875,56.142303,30.870924,405.1053,85.29233,0.00093081105,0.00408669,0.0013256245,0.0034453904,0.00039619475,0.004890222,18.018742
SND2019100509313876,56.14745,30.862247,405.03534,85.254234,0.0012352495,0.0049878294,0.0017219584,0.0040071,0.00054774975,0.005774418,17.257547
SND2019100509313878,56.157467,30.844778,405.42462,85.10618,0.002176984,0.007433832,0.002907486,0.005422274,0.0010478252,0.008054749,15.7332115
SND2019100509313901,56.11559,30.925547,405.3424,85.205666,0.00011210278,0.00092055503,0.00018735771,0.0011132935,3.512906e-05,0.001410661,23.712503
SND2019100509313902,56.121086,30.917004,405.71988,85.08283,0.00015196463,0.0011404903,0.000248204,0.0013095723,4.9763265e-05,0.0016866513,22.89412
SND2019100509313904,56.13188,30.899725,404.94174,85.264305,0.0002863187,0.0017816356,0.00044577685,0.0018363792,0.00010275877,0.0024468396,21.190119
SND2019100509313905,56.137108,30.89111,405.48584,85.34364,0.0003912354,0.0022197228,0.00059491553,0.002169352,0.0001469008,0.0029392836,20.35029
SND2019100509313906,56.142258,30.882433,406.61765,85.13543,0.0005266784,0.0027366208,0.00078307226,0.0025423681,0.00020644799,0.003500024,19.550606
SND2019100509313908,56.152283,30.864965,404.79736,85.097725,0.00094300904,0.0041243294,0.0013416745,0.0034694155,0.00040214366,0.0049277614,17.983719
SND2019100509313931,56.110374,30.945726,404.90283,85.32799,5.0185987e-05,0.00052271376,8.913017e-05,0.0007249692,1.4000183e-05,0.0008798774,25.874405
SND2019100509313932,56.115875,30.937185,405.6509,85.26354,6.377625e-05,0.0006188046,0.00011123287,0.0008238883,1.8419101e-05,0.0010128616,25.22976
SND2019100509313934,56.12668,30.919909,405.33136,85.31163,0.000113730006,0.0009299449,0.00018987036,0.0011218898,3.5713372e-05,0.001422652,23.673737
SND2019100509313935,56.13191,30.911295,404.98465,85.25243,0.00015402614,0.0011513635,0.00025131486,0.0013190235,5.0536753e-05,0.0017000516,22.857874
SND2019100509313936,56.137066,30.90262,406.53717,85.13715,0.00021459284,0.0014542207,0.00034146887,0.0015744217,7.386952e-05,0.002065622,21.965815
SND2019100509313938,56.1471,30.885155,406.81332,85.1756,0.00040419615,0.0022712538,0.000613111,0.0022074168,0.00015248456,0.0029960885,20.26262
SND2019100509313971,56.105156,30.965904,405.6413,85.16276,2.7508857e-05,0.00034228936,5.112758e-05,0.0005259656,7.0347146e-06,0.0006181059,27.491707
SND2019100509313972,56.110664,30.957365,405.64136,85.09106,3.330658e-05,0.00039163532,6.101461e-05,0.00058248907,8.756305e-06,0.0006915853,26.977251
SND2019100509313974,56.121456,30.940071,405.09723,85.135666,5.1139905e-05,0.0005296908,9.069518e-05,0.0007322917,1.4305218e-05,0.00088966225,25.823753
SND2019100509313975,56.12668,30.931444,405.06503,85.338196,6.629056e-05,0.0006358851,0.00011528065,0.000841068,1.9252659e-05,0.0010361272,25.125746
SND2019100509313976,56.13182,30.922756,405.10675,85.30815,8.819514e-05,0.0007774873,0.00015009815,0.0009795123,2.6694566e-05,0.0012252898,24.357738
SND2019100509313978,56.141838,30.905266,406.3739,85.20644,0.00016622017,0.0012148245,0.00026965348,0.0013737681,5.51422e-05,0.0017778564,22.65292
SND2019100509314001,56.09978,30.985926,405.78137,85.10899,1.8222554e-05,0.0002561179,3.493931e-05,0.00042217507,4.390405e-06,0.00048529968,28.599579
SND2019100509314002,56.105278,30.977373,405.30426,85.15585,2.0215397e-05,0.000275537,3.845737e-05,0.00044622034,4.944233e-06,0.00051580206,28.320398
SND2019100509314004,56.116074,30.960073,403.69992,85.1183,2.8184157e-05,0.00034818533,5.2286752e-05,0.0005328181,7.2327443e-06,0.0006269736,27.426468
SND2019100509314005,56.121296,30.951448,405.3231,85.097275,3.4280478e-05,0.0003996648,6.2662e-05,0.00059151836,9.049997e-06,0.0007033919,26.899723
SND2019100509314006,56.126446,30.942762,405.22498,85.21257,4.2565007e-05,0.00046547223,7.654261e-05,0.0006639603,1.15945895e-05,0.0007987489,26.317455
SND2019100509314008,56.13647,30.925274,404.18915,85.28012,7.150227e-05,0.0006706937,0.00012363445,0.0008757374,2.0994928e-05,0.0010832228,24.922161
SND2019100509314031,56.09438,31.005924,405.79807,85.00239,1.5730875e-05,0.00023092616,3.0499e-05,0.00039031095,3.710309e-06,0.00044514856,28.9951
SND2019100509314032,56.09988,30.997372,405.78687,85.11331,1.6182114e-05,0.0002355713,3.130688e-05,0.00039624708,3.8323865e-06,0.0004526045,28.919024
SND2019100509314034,56.110683,30.980076,404.7424,85.13891,1.8230983e-05,0.00025620137,3.495427e-05,0.00042227938,4.392734e-06,0.0004854316,28.598333
SND2019100509314035,56.115913,30.971453,404.6402,85.18383,2.0698819e-05,0.00028016075,3.930678e-05,0.00045188452,5.079809e-06,0.00052301143,28.256826
