SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2019100509313602,56.168926,30.7366,404.36877,81.34764,,,,,,,5.456218453048541
SND2019100509313634,56.174313,30.7394,407.39923,81.835754,,,,,,,4.628407668042774
SND2019100509313635,56.17949,30.730759,406.0591,82.31821,,,,,,,0.0
SND2019100509313671,56.152866,30.7853,407.08508,83.92459,0.039964250587035136,0.131223689355413,0.04010196958952398,0.040792912584677925,0.027433976111375383,0.049319257773217585,13.83338844980827
SND2019100509313672,56.158325,30.77673,404.5394,83.438034,-0.07722492106984213,0.09493402565920335,-0.10778829740107271,0.06288049610075383,-0.12183073667559356,0.0753802094530594,12.512760096027328
SND2019100509313674,56.169037,30.759401,407.76456,82.77578,0.07000937091406056,0.17802865869627707,0.06539551273612225,0.05220086143814173,0.04782587736552508,0.06370944815064919,10.540409255070651
SND2019100509313675,56.174217,30.750763,407.39243,82.533714,0.08422550378773762,0.22988907479876114,0.08168193643061282,0.06126956531634451,0.06146296876976371,0.0702806933729683,9.200788062327533
SND2019100509313676,56.179325,30.742064,414.02878,81.59597,,,,,,,5.529446387259071
SND2019100509313677,56.184338,30.73333,409.8033,82.2241,,,,,,,0.0
SND2019100509313701,56.147556,30.80532,406.50885,84.37293,0.02540225852549853,0.06343448825106829,0.016591131232510117,0.03560770135659935,0.007702051403094232,0.04607420089031578,17.51911966389832
SND2019100509313702,56.153015,30.796755,407.44366,84.221634,0.02912420180105721,0.09613230407320676,0.02271338128302185,0.044353371292343804,0.01520314610811158,0.04077301654645082,16.204355601877854
SND2019100509313704,56.163734,30.779432,406.1982,83.63535,-0.08841100489487706,0.06533971621245421,-0.11683405320022958,0.057237177628617755,-0.1317699621948317,0.06529120484155318,13.33654174400982
SND2019100509313705,56.168922,30.770794,408.42664,83.21603,-0.11702633778270381,0.056086603480999725,-0.15223247910206894,0.05646857234250193,-0.1744803436544971,0.07181233729765056,12.47580534912928
SND2019100509313706,56.174034,30.762096,411.56332,82.753654,0.05239284629777186,0.18066023671693748,0.04898810942648019,0.0551731851397494,0.034746664736396406,0.06430323088894596,11.641093642395363
SND2019100509313731,56.14224,30.825346,404.18393,84.82093,0.01222889059916802,0.07580617783368655,0.005091906277371411,0.03160345466779819,0.002037848270447063,0.03031816558859987,20.593233614928426
