SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2019100509313602,56.168926,30.7366,404.36877,81.34764,-0.14755206704266885,0.07050743110058584,-0.24536787688248715,0.09942992029243446,-0.291528412667395,0.1452013078355477,5.456218453048541
SND2019100509313634,56.174313,30.7394,407.39923,81.835754,0.09811646207652706,0.009265395514135234,0.022411872944960685,0.04805212441304665,-0.021532918157568897,0.06977486439331232,4.628407668042774
SND2019100509313635,56.17949,30.730759,406.0591,82.31821,0.21751753697446463,-0.19879474857417978,0.0831381230576792,0.024592624490004007,0.04149517380679338,-0.030336355082674425,0.0
SND2019100509313671,56.152866,30.7853,407.08508,83.92459,0.03996425069283821,0.13122369905919185,0.04010195416581908,0.040792987784303646,0.027433954687721782,0.04931936390026036,13.83338844980827
SND2019100509313672,56.158325,30.77673,404.5394,83.438034,-0.07722492842601354,0.09493409354291932,-0.107788316440834,0.06288059785728826,-0.12183063139223259,0.07537946924428054,12.512760096027328
SND2019100509313674,56.169037,30.759401,407.76456,82.77578,0.07000937520286896,0.17802862633586625,0.06539550409436715,0.05220090582714493,0.04782589636344113,0.06370948872063928,10.540409255070651
SND2019100509313675,56.174217,30.750763,407.39243,82.533714,0.08422551675342829,0.22988900386528222,0.0816819601774312,0.06126945542345697,0.06146301009887633,0.07028034841709667,9.200788062327533
SND2019100509313676,56.179325,30.742064,414.02878,81.59597,0.03675150667222311,-0.024321878518292008,-0.05845318892770152,0.0399531973612101,-0.10960875467453242,0.07510368522998408,5.529446387259071
SND2019100509313677,56.184338,30.73333,409.8033,82.2241,0.2638190831663681,-0.21762254523268396,0.13891104986164254,-0.018283006420781997,0.0926022061209325,-0.04645884397775777,0.0
SND2019100509313701,56.147556,30.80532,406.50885,84.37293,0.025402260978543513,0.06343446628190673,0.01659113170392619,0.035607737488154774,0.007702037984549525,0.04607412617988168,17.51911966389832
SND2019100509313702,56.153015,30.796755,407.44366,84.221634,0.029124203818581745,0.09613229990421845,0.0227133734989664,0.04435341995388877,0.015203096209810592,0.040773257500740914,16.204355601877854
SND2019100509313704,56.163734,30.779432,406.1982,83.63535,-0.08841101166454181,0.06533976501836201,-0.11683406107747547,0.05723719124534966,-0.13177004455101118,0.06529168749662288,13.33654174400982
SND2019100509313705,56.168922,30.770794,408.42664,83.21603,-0.11702634006370059,0.056086611586212066,-0.15223248376151402,0.05646859867900149,-0.17448034337632742,0.07181248224364065,12.47580534912928
SND2019100509313706,56.174034,30.762096,411.56332,82.753654,0.05239284695508281,0.18066024789212914,0.0489881231887558,0.05517311022524306,0.034746717038648595,0.06430285456467677,11.641093642395363
SND2019100509313731,56.14224,30.825346,404.18393,84.82093,0.012228898649195373,0.07580611835224503,0.00509194243429187,0.031603342690131514,0.0020378782660434454,0.03031804683536958,20.593233614928426
SND2019100509313732,56.1477,30.816782,404.27435,84.736534,0.018110270899697002,0.06345863316917376,0.00888082566728933,0.03261402729213206,0.005299032542474078,0.03009225372979791,19.718538511397046
SND2019100509313734,56.158432,30.799461,407.65332,84.28481,0.02521055171860395,0.09211680926076733,0.018443838530621703,0.04388973337185472,0.012341833754405434,0.0371346804261406,17.180624756096815
SND2019100509313735,56.163624,30.790827,406.64395,84.07803,0.030639258519266736,0.1091247944882496,0.026385613660760393,0.042261930766883116,0.018412882020948235,0.042174828829484194,15.671923727228327
SND2019100509313736,56.16874,30.78213,405.98856,83.70245,0.009437944603251714,0.10012852927686082,-0.002734878240725354,0.05262436116233581,-0.013422616054993808,0.05528139877501575,14.020837383198106
SND2019100509313738,56.1787,30.764624,408.4161,82.98266,0.04936045580116878,0.1483973372465856,0.04124588503578026,0.052369349388338315,0.027405903913428963,0.06062272362568817,12.26975006610469
SND2019100509313771,56.136917,30.84537,405.11102,84.84902,0.012444092550394,0.041420685380325194,0.00203870381895973,0.02400478574743236,0.0023245543232893718,0.016431314900209257,23.358577807168473
SND2019100509313772,56.142387,30.836807,405.97656,84.90137,0.014532491235658813,0.0443765541861692,0.0019732374188884566,0.030779188394581717,0.0010577196293326788,0.021346887800472676,22.73852151183018
SND2019100509313774,56.153122,30.81949,404.66882,84.76866,0.017542061820864076,0.05488054444798692,0.009752225952334966,0.022390074832376674,0.0035393577012097785,0.029226381973429787,20.630793909018617
SND2019100509313775,56.158314,30.810854,405.34833,84.73809,0.017810774598963845,0.08331144871996976,0.011965191933481587,0.03340998782049543,0.005457504314926862,0.037982306983862776,19.430227727814632
SND2019100509313776,56.163433,30.802158,406.26697,84.47167,0.02108710101013786,0.08941270428581487,0.01571977538698302,0.03281075834325616,0.00908410936493766,0.03448299980088837,18.572898219325243
SND2019100509313778,56.173397,30.78465,405.58136,83.85259,0.04502205472348082,0.09747764345432272,0.03347602343180295,0.04953038851001863,0.02219179888569911,0.055375289441407974,14.266331040258954
SND2019100509313801,56.131557,30.86538,404.37637,85.14,0.011931221007825269,0.02186031749180295,0.001047656503591851,0.02212020873434511,0.0015642306122778012,0.011768824677095937,25.751361328285064
SND2019100509313802,56.13703,30.856817,406.29013,85.06285,0.012742736529472042,0.023091222310480324,0.0023597416851031455,0.016049930125515376,0.0011630754569411609,0.011894099669112028,25.016157194642883
SND2019100509313804,56.14777,30.8395,407.3614,84.70937,0.01337845912567858,0.04879447923020361,0.0027369933971903952,0.026195555734489187,0.0015131827040911442,0.02005846458275497,23.58645539841189
SND2019100509313805,56.15297,30.830866,405.51044,84.697075,0.015256998653699456,0.04510261689689862,0.004585267791650628,0.026695829270597524,0.001734956345699817,0.025544668002881715,22.597572487031673
SND2019100509313806,56.158092,30.822172,405.4514,84.815216,0.016343504526775916,0.05493783125955926,0.009413509627827311,0.020945337566360713,0.0033901141411833958,0.025907427641572823,21.51354546793366
SND2019100509313808,56.168064,30.804668,406.13028,84.52669,0.01785765623177246,0.09664345156510482,0.013428270626764261,0.03243544292579339,0.008531563673739804,0.026732940587123298,19.256083711376135
SND2019100509313831,56.12619,30.885386,405.24753,85.27337,0.01092898740062499,0.023805498459150226,-6.442627016019808e-05,0.01723725558631824,-0.0023244183394864225,0.018724160923942898,27.76739410491877
SND2019100509313832,56.131668,30.876825,404.1544,85.25097,0.0079475779712883,0.04977790979150324,0.0026334652892006346,0.010468163380867802,0.0006471720382064001,0.010837062741396383,27.339875369189095
SND2019100509313834,56.142418,30.859512,406.22812,85.062874,0.010784508301869998,0.03336201923023313,0.0019430102892097087,0.016434254950314347,0.0011837818533742641,0.011456770890101586,26.10493817407855
SND2019100509313835,56.14762,30.85088,404.96884,85.127174,0.011216624057650715,0.04407603280004984,0.002945856129619911,0.019791844124045662,0.002620429883885176,0.009630901409206116,25.293558516669517
SND2019100509313836,56.15275,30.842186,405.5927,85.02986,0.015231107071861257,0.031084769282606818,0.0027921591566236388,0.023812341260259686,0.002890173341068695,0.011172700201099327,24.405537337907617
SND2019100509313838,56.16273,30.824686,405.52448,84.74802,0.015050472272603454,0.05624069258077541,0.00720494158530502,0.020456172283666568,0.003721772204840813,0.020484094373525698,22.52958973889358
SND2019100509313871,56.120823,30.90539,406.38025,85.186356,0.012743538265333587,0.021086580528657774,-0.0007484646359381352,0.013547785200823502,-0.0007904364682009382,0.007373829229548876,30.040825690533772
SND2019100509313872,56.126305,30.896832,407.4203,84.866035,0.012173842168865709,0.018110175293406684,0.001014949943818344,0.011147836953719653,-0.000610363187377722,0.013369938753927455,29.591207887513296
SND2019100509313874,56.13708,30.879541,406.06107,84.974724,0.00989237549770188,0.03467301034615291,0.0011723862639296848,0.012906059906374038,-0.0009274212020874892,0.011732596713082676,28.138728469362853
SND2019100509313875,56.142303,30.870924,405.1053,85.29233,0.01189796961511689,0.024845276042657623,0.002125995099215834,0.012912080376301066,-0.0005111439710091927,0.01693295200594565,27.41066111522984
SND2019100509313876,56.14745,30.862247,405.03534,85.254234,0.011243649098694665,0.032295549641416274,0.0019062529673805895,0.016780794416437962,0.00021864308336148037,0.013758099094364736,26.65642668474948
SND2019100509313878,56.157467,30.844778,405.42462,85.10618,0.014373038647014948,0.031397593041911094,0.0020419580362737023,0.024578843255679668,0.0015304165953542617,0.014724091933662429,24.975231789363868
SND2019100509313901,56.11559,30.925547,405.3424,85.205666,0.01119901440184087,0.026104242922336506,0.0010722685163362842,0.007445384689076399,-0.00017209864169454356,0.004221812984660902,31.975667760823264
SND2019100509313902,56.121086,30.917004,405.71988,85.08283,0.009096695643247499,0.036314434459616685,-0.00023189706956593692,0.011604026951965092,0.00026082374034143186,0.0028682652690305383,31.35480284468511
SND2019100509313904,56.13188,30.899725,404.94174,85.264305,0.010926813781328574,0.030134462173700277,-0.000464838027040639,0.015413536325665675,-0.00038408960211324013,0.011707877671858538,30.27140404733485
SND2019100509313905,56.137108,30.89111,405.48584,85.34364,0.01093198205885872,0.02905374368726107,-0.0009533782129634006,0.01623665321892701,-0.0016306831391299304,0.013173073658720067,29.785600769765765
SND2019100509313906,56.142258,30.882433,406.61765,85.13543,0.010436719145575854,0.033705944776413824,-0.0005284438848385777,0.018751274095759492,-0.0001944192686830884,0.007078493022046756,28.88118134859329
SND2019100509313908,56.152283,30.864965,404.79736,85.097725,0.010477043148320108,0.03734755516120669,0.000967278714426836,0.01711959728134484,-0.000910481562426979,0.015571818815603483,27.413732146441337
SND2019100509313931,56.110374,30.945726,404.90283,85.32799,0.009281895017885447,0.03322969817749583,0.000293272334781873,0.007527437384124951,-0.0012842480365174147,0.009229753979043343,33.3496783563938
SND2019100509313932,56.115875,30.937185,405.6509,85.26354,0.010749708350464912,0.02704632635114116,-0.001346161485361139,0.013401781462918823,-0.0018877579155246777,0.009633584626250778,32.93969825328668
