snd	diff	Steve's_XCO2_(v4_absco)	Sebastian's_XCO2_(v4_absco_10r)
2015062217255573	0.000	397.990	397.990
2015062217255603	0.000	398.013	398.013
2015062217255604	0.001	401.658	401.657
2015062217255635	-0.000	401.821	401.821
2015062217255672	0.000	398.201	398.201
2015062217255673	0.000	402.528	402.528
2015062217255674	-0.017	401.705	401.722
2015062217255675	-0.007	399.134	399.141
2015062217255702	-0.003	402.899	402.902
2015062217255703	0.000	402.840	402.840
2015062217255704	0.001	403.241	403.240
2015062217255705	0.003	402.585	402.582
2015062217255732	0.000	399.751	399.751
