SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],cld_distance,i1,s1,i2,s2,i3,s3
SND2018101809322431,55.35556,33.855484,403.44916,93.556915,12.425728147193151,3.9272625820861395e-06,0.0036482905677677115,1.091908467172998e-05,0.003329174000000588,5.778161454504346e-07,0.003356506369685161
SND2018101809322471,55.35001,33.875473,405.14417,93.5196,14.652873924361867,6.744657681741332e-07,0.002306824292989294,2.30858063217155e-06,0.0023343957884611783,7.135330656613043e-08,0.002164198059325531
SND2018101809322472,55.356606,33.86735,403.35577,93.565025,13.74188013049403,1.3865304610302895e-06,0.0027825584859651527,4.358958339881074e-06,0.0026991875443604877,1.6787147130801972e-07,0.002589740857381771
SND2018101809322473,55.363132,33.859196,403.57013,93.55611,12.845222002748525,2.818213803961505e-06,0.003346514287912146,8.148479530536512e-06,0.0031138617238117452,3.8966613945051633e-07,0.0030902159037269105
SND2018101809322474,55.369602,33.850933,404.01947,93.47856,11.9674334936594,5.643335277351784e-06,0.0040091692646923825,1.5033247562876803e-05,0.0035814545051500372,8.886120075703236e-07,0.003673724202943219
SND2018101809322501,55.344467,33.89548,403.0729,93.50028,16.89492750496261,1.14474392820017e-07,0.0014541428368271265,4.830439980807197e-07,0.0016329789126249767,8.688767130722475e-09,0.001391332016623638
SND2018101809322502,55.351067,33.887363,405.28802,93.47338,15.967725317816912,2.3836703914924426e-07,0.0017598905181780292,9.224346759790238e-07,0.0018930456380287966,2.0755432756486765e-08,0.0016702332901165312
SND2018101809322503,55.3576,33.87921,405.9118,93.38079,15.057380734593607,4.897705531153576e-07,0.0021225474436165057,1.7409110245280423e-06,0.002188641935354422,4.8801120731504204e-08,0.001998392926928467
SND2018101809322504,55.36408,33.870956,403.70148,93.546585,14.152398413834874,1.0020674315018613e-06,0.0025571125995017454,3.273352126246053e-06,0.0025282334615139754,1.1416703378891215e-07,0.0023885027777865372
SND2018101809322505,55.37041,33.86274,403.55908,93.68888,13.27822177914973,2.000866037173844e-06,0.0030611788990334795,6.0238553263219996e-06,0.0029062119106898175,2.594699498422859e-07,0.002837490307484357
