SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],cld_distance,i1,s1,i2,s2,i3,s3
SND2016102312355001,4.6549063,51.108517,401.08093,99.07595,0.0,1.7982566113786296,-1.6235136846676135,2.0217063540316,-1.3349436574013085,1.726506694933641,-2.26003930577327
SND2016102312355002,4.666301,51.101616,401.3208,99.06901,0.0,1.591990833955297,-1.495572677450703,1.3624427468304563,-1.119346831795289,1.7223101953759001,-2.2246977678040922
SND2016102312355031,4.6462693,51.128204,400.31387,99.32514,0.0,1.7342992543238838,-1.634442437296452,1.706775622366294,-1.2071916487058525,2.682813645243612,-2.783854811548464
SND2016102312355032,4.6576715,51.121307,400.99158,99.23924,0.0,1.8851535522610865,-1.7095797352325883,1.8719053914865087,-1.3828015147638626,2.085130901500132,-2.476949714934322
SND2016102312355033,4.669025,51.114323,401.68185,99.07048,0.0,1.8327942098014371,-1.6423291356608762,1.3999889293391834,-1.1198803750191937,2.038711951170518,-2.4916204158260724
SND2016102312355034,4.680293,51.107277,401.50067,99.017525,0.0,1.7371860860657127,-1.5423446430934544,1.4000299707468427,-1.074571418133722,1.5882111770248468,-1.946182051316089
SND2016102312355035,4.691365,51.100246,401.51874,98.988106,0.0,1.6250033284018381,-1.5551205448235124,2.12269724768414,-1.4583968752346463,1.772573131308508,-2.064799469614485
SND2016102312355071,4.6375985,51.147873,401.2293,99.05043,0.0,1.6218183596622324,-1.56651078890391,1.477765289510607,-1.1558364324336485,2.4792429984940867,-2.6498298484000364
SND2016102312355072,4.649003,51.140972,401.4166,99.028,0.0,1.5669214507006657,-1.5378386629807226,1.290552862563098,-1.119746768439111,2.1414105880138363,-2.5175272062589134
SND2016102312355073,4.6603594,51.133987,401.55756,99.174736,0.0,1.8586763160478572,-1.6795249966487527,1.7073231290678146,-1.2374352438041667,2.181779387086361,-2.6308618555105276
SND2016102312355075,4.682704,51.119907,402.45804,99.14943,0.0,1.4665457382357667,-1.465750034093352,1.307340859325143,-1.1616440210379033,2.1738265464000324,-2.5037782844478498
SND2016102312355076,4.6937013,51.1128,401.20316,99.21093,0.0,1.5939513854866658,-1.567466144114873,1.1812900265019408,-1.0039573068895356,2.0174386956998718,-2.1863609167091616
