SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2015062217261905,-57.73304,1.7834474,397.4826,98.76869,2.7544435497231388,3.9898773290762506,3.4393894224289516,3.03539870340245,3.07399777669548,6.029390702828796,0.39323967474804755
SND2015062217261933,-57.720448,1.8163245,398.99844,98.761375,0.5460539133827932,0.7145434382192118,0.4990907369108485,0.5629448959449374,0.2934804575548547,2.957125742059287,7.395048861393738
SND2015062217261934,-57.72889,1.809901,399.65555,98.714424,1.5900713699732398,2.2251444079762086,1.7859008281474782,1.7130448769461006,1.3846701708640015,4.733946143873159,2.770525429053347
SND2015062217261935,-57.737328,1.8035994,398.57443,98.67454,0.2421920930722001,0.3011490688407245,0.18924699160694045,0.24146017513950835,0.0901744912351915,2.0674259007246936,10.912654893305385
SND2015062217261936,-57.745842,1.7973387,397.21436,98.36799,0.21915320861739754,0.270796665715556,0.1679758139992383,0.21759305945438015,0.07799562149674331,1.9784176153056992,11.345159363810595
SND2015062217261937,-57.754402,1.7911351,396.24704,98.47957,0.14289826329869157,0.17189371546926605,0.10085973828353835,0.13940342878474973,0.041926928155485044,1.638910486425296,13.19545138491231
SND2015062217261973,-57.72474,1.8364819,397.29755,98.65548,1.0758950428197949,1.4691239680563746,1.120732028915976,1.140600344316001,0.7854184604881044,3.9859987139616733,4.4606743867691625
SND2015062217261974,-57.73318,1.8300555,395.483,98.75191,2.918741277266845,4.243276277701646,3.6854828739262655,3.22414077087885,3.3436918028752074,6.185157403100822,0.1425595359232811
SND2015062217262004,-57.737473,1.8502102,395.48056,99.2932,3.016510529158353,4.394496377430526,3.8332094159422745,3.3366657610497747,3.5074893903048734,6.275528895545329,0.0
SND2015062217262171,-57.734013,1.9704038,396.83682,98.84585,3.016510529158353,4.394496377430526,3.8332094159422745,3.3366657610497747,3.5074893903048734,6.275528895545329,0.0
SND2015062217262172,-57.742268,1.9638759,395.10083,99.04097,0.19478452924721296,0.23891049441727946,0.14594291268211504,0.19246101593554465,0.0657297721914175,1.8783664855888211,11.855186502102068
SND2015062217262201,-57.738403,1.9906007,396.7352,98.62396,0.09722023849046903,0.1141526281085302,0.06370843200794653,0.09334961977275914,0.023971613218678658,1.3832965479244816,14.861924419608954
SND2015062217262202,-57.746655,1.9840701,399.87256,98.12115,2.6109517758978855,3.76934130064637,3.2267586386669525,2.8709363271747166,2.8443137067381072,5.889037465375033,0.624724589589753
SND2015062217262203,-57.755005,1.9775708,392.96365,99.12153,0.1613537024889719,0.19558005750848323,0.11658446980895956,0.15819710735713458,0.05001076435737631,1.7289365069176958,12.66989618150853
SND2015062217262232,-57.75098,2.0041974,394.872,99.57499,2.721996745005846,3.9399445145921224,3.3911175600658447,2.998178398227142,3.0215768146210698,5.998018541463525,0.44451075914637456
SND2015062217262233,-57.759323,1.9976882,398.65723,98.928566,0.09140426293654715,0.10690878113291646,0.05918905107983665,0.0875424524566336,0.021918496617175393,1.3462354458526486,15.128828981911498
SND2015062217262274,-57.772038,2.0113347,397.04236,98.93809,0.3638693205141895,0.46416066310416115,0.307538648869791,0.36890420021713954,0.16281371337203895,2.473198190213496,9.151384126447056
SND2015062217262275,-57.78045,2.0050008,397.086,99.02668,0.11251232166842565,0.1333255173208058,0.07583550219285909,0.10868496855720321,0.029633742051361607,1.4751831747931463,14.22985320144154
SND2015062217262277,-57.79747,1.9924711,395.04034,98.969185,0.24442686180816686,0.3041031967101553,0.19133175364444807,0.24378041210017737,0.09138475755440344,2.07580272881423,10.872913740394633
SND2015062217262337,-57.8061,2.0327218,393.48248,99.03153,3.016510529158353,4.394496377430526,3.8332094159422745,3.3366657610497747,3.5074893903048734,6.275528895545329,0.0
SND2015062217262338,-57.81468,2.0265353,397.20566,98.68319,0.0957199413987517,0.11228132260604874,0.06253748320153656,0.09185018941451803,0.02343653134140982,1.373857734728589,14.92921545106199
SND2015062217262533,-57.798115,2.178932,394.61685,98.95922,0.09809231743051891,0.11524119891877009,0.06439067676853272,0.09422163403191312,0.024284362214486408,1.3887456189852445,14.823285732161851
SND2015062217262575,-57.819164,2.1862333,396.67676,99.15231,0.09895031008695815,0.1163127798311339,0.0650630438503854,0.09507987479459973,0.024593287202742543,1.3940802735913385,14.785604944807824
SND2015062217262576,-57.827625,2.179917,393.91104,98.86647,0.19808446573116398,0.2432144301930178,0.1488969047584914,0.19585708499895207,0.06735228604227673,1.8923102500407425,11.782498642212321
SND2015062217262608,-57.848946,2.1875772,395.5556,98.76565,0.11503675639793616,0.136507008718077,0.07786944655687543,0.11122514972723767,0.030603712130070765,1.4896642381931635,14.133846681473447
SND2015062217262637,-57.844635,2.2139363,398.18573,98.81161,3.016510529158353,4.394496377430526,3.8332094159422745,3.3366657610497747,3.5074893903048734,6.275528895545329,0.0
SND2015062217262675,-57.83193,2.2466743,398.47836,99.02155,3.016510529158353,4.394496377430526,3.8332094159422745,3.3366657610497747,3.5074893903048734,6.275528895545329,0.0
SND2015062217262676,-57.840378,2.2403517,399.97296,98.97733,3.016510529158353,4.394496377430526,3.8332094159422745,3.3366657610497747,3.5074893903048734,6.275528895545329,0.0
SND2015062217262677,-57.848877,2.2340858,395.93253,99.25249,0.23982636251653572,0.29802368821478625,0.1870440968112649,0.239004928745104,0.08889878430593942,2.0585108940746526,10.955126524683306
