SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3
SND2018101809322431,55.35556,33.855484,403.44916,93.556915,0.0007036456311274682,0.017017017355438015,0.0005029442138826155,0.007710820416289976,1.526564796018963e-05,0.007217554812105338
SND2018101809322471,55.35001,33.875473,405.14417,93.5196,0.00045826657878167263,0.013322946682353391,0.0003166112136442686,0.00600084290941842,3.7528704198586268e-06,0.005291093014991569
SND2018101809322472,55.356606,33.86735,403.35577,93.565025,0.0005466952690908395,0.014734341268801335,0.0003830235844177781,0.006652955201105082,6.684711125900571e-06,0.006012118609069261
SND2018101809322473,55.363132,33.859196,403.57013,93.55611,0.0006494210800780516,0.016255773013891903,0.0004612457628355225,0.007357623889034624,1.1742525584715856e-05,0.006810406488934937
SND2018101809322474,55.369602,33.850933,404.01947,93.47856,0.0007687187611148426,0.017898048578152966,0.000553321143386194,0.008120077612331592,2.03892716359085e-05,0.007694909382658603
SND2018101809322501,55.344467,33.89548,403.0729,93.50028,0.000297724208430783,0.010416156840380018,0.00019878329917815923,0.004663364442066338,9.152015096755971e-07,0.003871927787272808
SND2018101809322502,55.351067,33.887363,405.28802,93.47338,0.000356186140760765,0.011538335689352064,0.00024121970270122542,0.005178741206985727,1.6454286587314014e-06,0.00440863488349787
SND2018101809322503,55.3576,33.87921,405.9118,93.38079,0.00042474407557863884,0.012757709137935992,0.00029168975311224794,0.005740149036985267,2.926978938938522e-06,0.005007930015957091
SND2018101809322504,55.36408,33.870956,403.70148,93.546585,0.0005053688074778013,0.014087992225357284,0.00035187106505165034,0.006354120557918026,5.168790670094391e-06,0.0056795066130208545
SND2018101809322505,55.37041,33.86274,403.55908,93.68888,0.0005975813225931847,0.015502042106552951,0.0004216383031147339,0.007008312681328775,8.94434486616787e-06,0.006412294188862367
SND2018101809322506,55.376675,33.854454,403.54276,93.67459,0.0007034002078182016,0.01701362985775838,0.0005027548947536009,0.0077092478389689705,1.524823350910275e-05,0.007215731993400337
SND2018101809322531,55.338936,33.91553,401.66577,93.773964,0.0003880923374020402,0.012117304303763501,0.0002646203469025025,0.005445129859797841,2.178637727230324e-06,0.004691167671792209
SND2018101809322532,55.345543,33.907413,400.48553,93.72783,0.00032679291742635695,0.010984917908343828,0.00021980845579124315,0.0049244147072901616,1.2413501765816217e-06,0.004142107428981491
