SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2015120110344131,44.545727,-9.912502,397.93048,101.29521,0.0002981378176055007,-0.0006068868292267486,-4.63583459975803e-20,0.0050592709012242274,0.0003328811425945177,-0.0006019828220734299,12.026282649256364
SND2015120110344171,44.541576,-9.893886,398.275,101.2295,0.0003549697085653906,-0.0007311732562710474,-2.354265179728985e-19,0.005061414807441367,0.00036577208180742866,-0.0006682622258736454,11.602614468873773
SND2015120110344172,44.54079,-9.904786,398.7913,101.2211,0.00022334988087000218,-0.0004458314373582558,-3.1471408392655766e-21,0.005055724024725471,0.0002848071192704636,-0.000506399974372976,12.727593261885572
SND2015120110344173,44.5399,-9.915747,398.36728,101.288895,0.0002954308782928923,-0.0006010047666691977,-4.2582900563754435e-20,0.005059158851107676,0.00033124549732566565,-0.0005987047540504027,12.048430377569773
SND2015120110344201,44.537434,-9.875269,398.15793,101.19897,0.0004365791685578419,-0.0009119821630691571,-1.617635148423446e-18,0.005063958756558815,0.0004090205883387442,-0.000756396126478258,11.100124530128133
SND2015120110344202,44.53665,-9.88617,398.2058,101.23212,0.00035345294777983604,-0.0007278376278971162,-2.2622213193587244e-19,0.005061362179833174,0.00036492720699779583,-0.0006665513276893276,11.613012328721783
SND2015120110344203,44.53577,-9.897131,398.2579,101.32744,0.00020285224030259786,-0.0004022813072512064,-1.2839687667845677e-21,0.005054542413267995,0.00027037954766828893,-0.0004780422108940856,12.961338133022705
SND2015120110344204,44.534786,-9.908117,398.76593,101.23462,0.0001922593866445197,-0.0003798902219068827,-7.791494071810238e-22,0.005053884195716364,0.0002626606478555092,-0.00046293728557224355,13.091569588030026
SND2015120110344231,44.533276,-9.856653,398.07568,101.267876,0.00039415770612044474,-0.0008176793011040813,-6.243441225384807e-19,0.005062701988959101,0.00038705353203132454,-0.0007114970402884013,11.348334209063484
SND2015120110344232,44.53249,-9.867557,397.8529,101.35598,0.0003210420940383123,-0.0006567988999385852,-9.236583143991925e-20,0.005060180277321716,0.00034645659795846506,-0.0006292567650752423,11.846554305516902
SND2015120110344233,44.531605,-9.87852,398.11584,101.31646,0.00022950734128571843,-0.00045896805307365926,-4.054312747423236e-21,0.005056057899371778,0.0002890208771724145,-0.0005147120478706265,12.661556504183803
SND2015120110344234,44.530617,-9.889508,398.1278,101.266304,0.00018000990404096513,-0.0003541018175206824,-4.2202236543114487e-22,0.005053076353456122,0.0002534863347949012,-0.00044504697254099505,13.251428184099977
SND2015120110344235,44.529537,-9.900408,398.58292,101.27086,0.00013767863276477587,-0.00026595185471176594,-3.475038025329723e-23,0.0050497879642937655,0.00021931957315766759,-0.0003790567510685298,13.902409762206892
SND2015120110344236,44.528362,-9.911347,399.00098,101.32381,0.00016280393595500734,-0.000318081155707181,-1.6556596916241776e-22,0.0050518437954335735,0.00024009972018627747,-0.0004190689876822691,13.495380241216704
SND2015120110344271,44.52898,-9.838055,397.95154,101.13122,0.0007627946960197106,-0.0016548732672615899,-2.9239566699628004e-16,0.005070825047656618,0.0005528684010664908,-0.0010564057579966193,9.745129242414974
SND2015120110344272,44.528202,-9.848958,398.15942,101.26464,0.0003974338187233177,-0.000824938495585057,-6.743795252627556e-19,0.005062803746250541,0.00038878757872067536,-0.0007150314607324376,11.328235007284547
SND2015120110344273,44.527325,-9.859922,398.03458,101.27759,0.0002636331602374869,-0.0005321920638201837,-1.474434366831733e-20,0.005057760100522658,0.00031148826141508517,-0.0005592494781520412,12.324947487298068
SND2015120110344274,44.52634,-9.870912,398.01395,101.2722,0.00019732926831903837,-0.00039059673235055644,-9.92889086863474e-22,0.005054203624241436,0.00026637878573588207,-0.00047020728991606624,13.028367025712106
SND2015120110344275,44.525272,-9.881812,398.3954,101.31608,0.00016453075799676691,-0.00032168504000994733,-1.8266175804335504e-22,0.005051973225059762,0.00024147169980855355,-0.00042172436279519737,13.469760294629626
SND2015120110344276,44.5241,-9.892753,398.5489,101.390564,0.00011999092184018437,-0.00022963352599365217,-9.655421173681553e-24,0.005048102143684998,0.0002036230810545407,-0.00034910294319401286,14.236305379291704
SND2015120110344277,44.522842,-9.9037,398.46,101.36467,0.00010762282508478762,-0.00020445023242168968,-3.505593840222702e-24,0.005046768862372088,0.0001920052922658401,-0.00032709245821539306,14.500455623482466
SND2015120110344278,44.521484,-9.914662,398.89313,101.32199,0.0001721955730233396,-0.00033771216994131335,-2.7914001970178953e-22,0.005052531828133621,0.00024748309121456693,-0.0004333782130156165,13.359195141465369
SND2015120110344301,44.52469,-9.819454,397.3138,101.2542,0.0018723899133190462,-0.004317169108210886,-1.2535787031735603e-12,0.005081894050149623,0.0008979093672627723,-0.0018084246001761944,7.564628280637666
SND2015120110344302,44.52392,-9.830359,397.42035,101.20707,0.0010218035629776757,-0.002261173111356681,-4.450589849136053e-15,0.00507442588223525,0.0006474191274277371,-0.0012584506071267418,9.035273024029127
SND2015120110344303,44.523045,-9.841325,397.82993,101.21551,0.0005096208587980812,-0.0010757872353504886,-6.832886530506122e-18,0.005065861337446683,0.00044465946021062224,-0.0008297927155071528,10.724484905222006
SND2015120110344304,44.52207,-9.852314,398.007,101.354935,0.00037638015697586465,-0.0007783600477037489,-4.0620907179492113e-19,0.005062134664307813,0.00037752592836527054,-0.0006921082447426929,11.46040014579116
SND2015120110344305,44.521008,-9.863215,398.27353,101.26923,0.00021478233120306682,-0.00042759398857752386,-2.186277068314935e-21,0.005055243862276842,0.00027885409880462397,-0.0004946797982871366,12.822571794970818
SND2015120110344306,44.519844,-9.874158,398.6299,101.29682,0.00013676099798095863,-0.00026405949994263636,-3.265204291442729e-23,0.005049705964469351,0.00021852893709209045,-0.00037754225438090135,13.9186481648426
SND2015120110344307,44.51859,-9.885106,398.2611,101.30762,0.00010822511584252341,-0.00020567221846520782,-3.6926197997221876e-24,0.005046837252658006,0.0001925848354147539,-0.00032818708003520754,14.48690441390693
SND2015120110344308,44.517242,-9.89607,398.58972,101.34732,8.83053472758458e-05,-0.00016551754701547776,-5.5534808023779755e-25,0.005044345075124735,0.0001725496544245688,-0.00029055973932404314,14.980836146183133
SND2015120110344331,44.52041,-9.800852,397.72458,100.6995,0.013051357716328853,-0.034327414854699305,-8.951476954581728e-05,0.005105910861677968,0.0025622946217676674,-0.00578261174175359,2.8498037965676675
SND2015120110344332,44.519657,-9.811754,397.54306,100.99656,0.006634367893285063,-0.016667027299044068,-1.64077583757004e-07,0.005097528708064814,0.0017780093208117538,-0.00385660205276988,4.492809655811829
SND2015120110344333,44.518806,-9.822717,397.71204,101.23203,0.0011470849434349994,-0.00255839750867776,-1.3068338709705863e-14,0.005075851160171935,0.0006891454757511852,-0.0013486698444065972,8.754437744342109
SND2015120110344334,44.517853,-9.833704,397.27518,101.171814,0.0005088345804107498,-0.0010740149756163306,-6.735328031354866e-18,0.00506584234392388,0.0004442888311882285,-0.0008290260396617603,10.72823422979764
SND2015120110344335,44.51681,-9.844603,397.7254,101.34667,0.0004396949577616773,-0.0009189338598264846,-1.7284040132558368e-18,0.00506404620306562,0.00041059445470308266,-0.0007596232269108645,11.08285627104733
