SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2015120110344131,44.545727,-9.912502,397.93048,101.29521,0.002482770285098324,-0.01092655043252352,0.005536299105768381,-0.03253927005584807,0.0003454381882218804,-0.009881187578274065,21.346653221472977
SND2015120110344171,44.541576,-9.893886,398.275,101.2295,0.00027005442155031537,0.006977781182093199,-0.0033453908998865257,0.01897288652567491,0.009472630157744555,-0.06960664810169863,21.2018329975691
SND2015120110344172,44.54079,-9.904786,398.7913,101.2211,-0.0041006823275301285,0.03291612790901415,-0.0010285625523257368,0.02103131398278331,-0.003387413168124531,0.014018410308168304,21.60025981966116
SND2015120110344173,44.5399,-9.915747,398.36728,101.288895,0.0009281855493028833,0.004558849960158622,0.007119744379940958,-0.037914085062455014,0.007426594513059982,-0.04732786311088939,21.69271004344086
SND2015120110344201,44.537434,-9.875269,398.15793,101.19897,,,,,,,20.741843217969283
SND2015120110344202,44.53665,-9.88617,398.2058,101.23212,,,,,,,21.221017532523867
SND2015120110344203,44.53577,-9.897131,398.2579,101.32744,,,,,,,21.7302126590235
SND2015120110344204,44.534786,-9.908117,398.76593,101.23462,-0.0019069393569769535,0.002797884734305044,-0.009935009553309598,0.07178309438231847,0.002112290815848292,-0.012177605380980498,21.95513686025993
SND2015120110344231,44.533276,-9.856653,398.07568,101.267876,,,,,,,20.048132209829195
SND2015120110344232,44.53249,-9.867557,397.8529,101.35598,-0.001254764640673516,0.01511272247034971,0.006461619409912158,-0.019240956948110136,0.006791548538312953,-0.01804702294919377,20.701094698453176
SND2015120110344233,44.531605,-9.87852,398.11584,101.31646,0.00602458802322813,-0.009469942026253831,-0.004828992452165675,0.0274748664313645,0.006428269137016381,-0.047327481494323496,21.399289983297834
SND2015120110344234,44.530617,-9.889508,398.1278,101.266304,,,,,,,21.83572379641959
SND2015120110344235,44.529537,-9.900408,398.58292,101.27086,9.020793822917123e-05,0.007906506435024576,0.0021142254267279086,-0.02254495523174937,0.00294690167101333,-0.009040968504063947,22.3048276210715
SND2015120110344236,44.528362,-9.911347,399.00098,101.32381,-0.003503011945925411,0.017778416804429986,-0.005259982927336871,0.04205737386740884,2.3593157585088014e-05,0.010772750322064897,22.470391653414634
SND2015120110344271,44.52898,-9.838055,397.95154,101.13122,0.003716384577176591,-0.012555739558929743,-0.004281991843895894,0.044628943101009955,0.006670048793139759,-0.024893369403549654,19.10598747989481
SND2015120110344272,44.528202,-9.848958,398.15942,101.26464,,,,,,,19.90249006158095
SND2015120110344273,44.527325,-9.859922,398.03458,101.27759,,,,,,,20.75652044910128
