SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2015120107142771,95.8168,-18.189705,393.75174,101.42527,0.03144686969706033,-0.42217304147396034,0.1075500535957164,-1.345968166541073,0.013984641786078488,-0.2840424897498842,8.307717112494442
SND2015120107142801,95.81267,-18.170912,394.38626,100.6114,-0.1331465216782163,-0.42448352684860546,-0.16655779141713797,-0.5679451026414389,-0.19035927252552606,-0.09281453687411519,5.238712782179607
SND2015120107142802,95.8084,-18.181118,396.09564,101.14156,0.008604133398721741,-0.9797698920256832,0.1951169538703296,-2.256442193380149,0.0227000512943076,-0.4046931140942881,8.488325267579063
SND2015120107142803,95.80402,-18.191355,396.0843,99.99053,-0.01484605894337793,-0.0007055708204890433,-0.06734089916294558,-0.17341771035199066,-0.06952153665382546,-0.11563658032478522,7.733811305460474
SND2015120107142831,95.80853,-18.152134,395.48355,101.179924,0.016635505403957633,-1.3515470972394286,0.2381667990511397,-2.5601826278867583,0.10362951152849015,-1.137422659295244,7.148781633526775
SND2015120107142832,95.804276,-18.162344,395.29062,100.078636,-0.11689808325340734,-0.30459553323834054,-0.20019885777034688,-0.1979643608134058,-0.1794212215105205,-0.2533463519568831,8.539247228990288
SND2015120107142833,95.799904,-18.172585,396.88297,101.2979,0.050008361740579245,-1.2408522415037753,0.35391163537075815,-3.10869831225491,0.16075623822874144,-1.145213188990691,5.5308661851047125
SND2015120107142834,95.79542,-18.18282,392.63657,101.15487,-0.3695827868300875,-0.6581081459573372,-0.49883517272842,-0.14551246747776367,-0.47723095067964677,-0.27600008028442546,5.399175109630919
SND2015120107142835,95.79087,-18.192945,393.03952,100.050606,0.01696816640791353,-0.2405492160278426,-0.013718307085657935,-0.456776070851049,-0.031478996225295035,-0.13988762126131538,4.557377209964303
SND2015120107142871,95.804405,-18.13336,396.8483,101.2936,0.03001797219786972,-0.03503857175572363,0.016007488549618636,-0.027330205213005984,0.022387768479572304,-0.09611461808979416,13.363833562192772
SND2015120107142872,95.800156,-18.143574,395.81976,101.187325,-0.06986473182856068,-0.1055250728780772,-0.1205530401761998,0.055289115496234026,-0.10889608604180959,-0.0007112268332603522,12.052145079118294
SND2015120107142873,95.79579,-18.153816,394.13043,100.94562,-0.14152820490324255,-0.32371497299536905,-0.1782031298471519,-0.3594727849997828,-0.19060151029512035,-0.09905504700256776,7.063290092265266
SND2015120107142874,95.79131,-18.164055,397.1945,101.406,0.046066889871671915,-0.6163750474248292,0.20381611900058638,-1.725815056553714,0.10231499054297404,-0.6585126017070149,0.0
SND2015120107142875,95.78678,-18.174183,393.88733,100.263214,-0.01764881848977737,-0.30058234612812185,-0.04345258233499823,-0.5141999126441195,-0.04825729748747439,-0.34899918060208096,8.779784877368884
SND2015120107142901,95.80028,-18.114588,396.39966,101.34174,0.026915460934362916,-0.15542501170190814,0.06990933653912985,-0.546229092797206,0.032922767013964016,-0.12095338328387902,0.0
SND2015120107142902,95.796036,-18.124804,397.2128,101.57902,-0.022646109694257746,-0.5997423911830387,0.10876141965471668,-1.4258293574978402,0.02064500251861095,-0.5025145424609476,11.712535861866469
SND2015120107142903,95.79168,-18.135048,397.7306,101.89765,-0.08273751793195958,-0.04329027986064415,-0.12592678559687592,0.01801447068313881,-0.11876193505985064,-0.013222767509998075,12.775856052078677
SND2015120107142904,95.78722,-18.145288,393.45035,99.4899,-0.09912828269453951,-0.06586214292551446,-0.148590547326099,-0.03145315927658293,-0.14420550562497175,0.007831066207680776,7.575959706026549
SND2015120107142905,95.782684,-18.15542,399.46585,100.25939,-0.021778304774594522,-0.28663875489881224,0.05957838721253838,-1.102450919318652,0.00622961506240884,-0.40533971076810915,0.0
SND2015120107142906,95.778046,-18.165564,396.16684,101.439964,-0.011122956932785366,-0.34222260289601436,0.05091387777687656,-0.9405744902015821,0.004087040886620347,-0.3643820558689875,9.805379973655231
SND2015120107142907,95.773315,-18.175688,396.04092,100.84102,0.0032599874135742285,-0.23165429829399992,-0.055391210590108264,-0.23869380117013356,-0.05515735661211601,-0.12539334016416084,6.555914411822586
SND2015120107142908,95.76849,-18.1858,395.66116,100.140045,0.05449292606472711,-1.0618382465960976,0.17550589380303536,-1.8309116900166384,0.05496491806988124,-0.5995232621754857,8.11508988489725
SND2015120107142931,95.79613,-18.09583,397.21182,101.65146,0.022509294830532312,0.040739348573685906,0.008077758892065846,0.0058672868298264595,0.004274628107137808,0.05353622725478778,15.578802434431461
SND2015120107142932,95.7919,-18.10605,397.1967,101.70019,0.01015223608522169,-0.38854254181963355,0.14232201789040283,-1.4364119431400886,0.046106178343115645,-0.3479824909676002,12.402161277853416
SND2015120107142933,95.787544,-18.1163,396.97617,101.8096,-0.06274993595274402,-0.4499962441147433,0.01648068778104839,-1.2268351693426558,-0.040958164802217145,-0.5019770263193599,13.361778875971591
SND2015120107142934,95.78309,-18.126545,395.809,101.489494,0.02069455083666866,-0.03204058847033588,0.031686775287823904,-0.198785044199988,0.023882514695667916,-0.10828477661102462,12.777030383004554
SND2015120107142935,95.778564,-18.13668,397.31454,101.22694,0.0031694657329112935,-0.06024928188881707,-0.016542709672694306,-0.05596341275982567,-0.0167213415378101,-0.04761119885236482,7.44951604208416
SND2015120107142936,95.77393,-18.146828,399.24518,101.3369,0.0018961430675244638,-0.8611128740661365,0.18748332425137823,-1.9910628227702678,0.07583112336341094,-0.8321900636913944,8.380523285921765
SND2015120107142937,95.76921,-18.156954,397.81488,101.54786,0.024233700348468095,-0.520133798094463,0.15560706332818805,-1.4111793589948407,0.04230426043703102,-0.218016334014608,9.685010974086953
SND2015120107142938,95.7644,-18.167068,393.02405,101.11343,-0.022067361040491527,-0.33673730530930385,-0.03200744592408349,-0.3570978080389172,-0.06045893432260077,-0.04059217715655494,10.382471296107337
SND2015120107142971,95.79198,-18.077082,396.42752,101.70961,0.001819440624985377,-0.4464925894520894,0.1159844552390828,-1.274472815492187,0.03191127787472292,-0.36852985397218946,9.174994283130985
SND2015120107142972,95.78775,-18.087303,397.23874,101.78482,0.012967159282857736,-0.19663020738882692,0.059579023238084686,-0.5366124672375899,0.0193386750972852,-0.1359462634577844,15.049268542713921
SND2015120107142973,95.78341,-18.097555,397.69424,101.79854,0.012612107340595376,0.05479320846474471,0.004171108576788528,-0.05856660578604486,-0.002532851636154632,0.04164578776794966,16.535879966177045
SND2015120107142974,95.77896,-18.107803,397.4577,101.674904,0.011245691488874663,0.03725249071216614,0.0009615504252742422,0.02419308200822764,0.008560103621106638,-0.051862271494401854,15.725189661930418
SND2015120107142975,95.774445,-18.11794,396.77118,101.757774,-0.00514122780210981,-0.23353862232562014,0.06618657961659294,-0.7226087903685771,0.010455163818237917,-0.10465873120748698,12.839981340945133
SND2015120107142976,95.76982,-18.12809,395.51703,101.74866,-0.1261597710069828,-0.21716072131878367,-0.15841979361441177,-0.18249262540427189,-0.16697022695545208,0.018218271888095723,12.916496597241563
SND2015120107142977,95.76511,-18.13822,395.08954,101.05328,-0.016710195169674882,-0.21986747051173527,-0.03198808874108791,-0.2953731909611125,-0.040605860404449225,-0.19801107094619608,6.691192234948827
SND2015120107142978,95.7603,-18.148338,397.99448,101.516426,0.0319010679631209,-0.5298829231081019,0.09978321072258843,-1.0684726169919323,0.033538844003054416,-0.2876569425742005,10.514229704076913
SND2015120107143001,95.78783,-18.05833,395.5249,101.532814,-0.0633444209183572,-0.20394555219404736,-0.06782810078053252,-0.3508358763985601,-0.07970359314951193,-0.1230738573026151,13.35489086111106
SND2015120107143002,95.78361,-18.068556,397.18918,101.00104,0.005194009037056366,0.02508238592627912,-0.014957089463396299,0.009771167579997348,-0.011730265924166296,0.0026592952785172144,14.756988112001705
SND2015120107143003,95.779274,-18.07881,397.29947,101.77474,-0.040826384124960396,-0.05406073467781888,-0.058494899833265834,-0.0713244166450774,-0.05137007881293053,-0.11140842227579834,15.428204682564772
SND2015120107143004,95.77483,-18.089062,397.2608,101.68494,0.010770071921798324,0.07723972674547692,0.009581342952118108,-0.009703125820697947,0.00911882062501164,-0.00029845467273702567,14.947858719629352
SND2015120107143005,95.770325,-18.099201,398.0165,101.779495,0.007632055053241429,-0.00419555512859025,0.0032282276919045182,-0.03950965529621381,0.0037451840461153194,-0.02575609456332288,17.00268931575332
SND2015120107143006,95.76572,-18.109352,398.13953,101.755714,0.006371406225796382,0.03754787915287499,-0.006002569184281172,0.08742180841315318,0.0025491517823191413,-0.0027553521505197733,16.720854711666597
SND2015120107143007,95.76101,-18.119484,396.4256,101.18829,-0.03986053957114412,-0.018790496109713357,-0.05843281270313617,-0.07573141181679854,-0.0646707934084493,0.04076163192271929,14.584247016771295
SND2015120107143008,95.75621,-18.129604,397.82056,101.00258,-0.005577385054222262,-0.10692624518526359,-0.030025989232120485,-0.13602218141751218,-0.03172719034656126,-0.03717828602666521,6.883032799816632
SND2015120107143031,95.783676,-18.039574,395.70987,100.52211,0.021759464687483413,-0.033985979898234805,0.02055682499898319,-0.3294794853641044,0.008148835586978206,-0.08521822209125683,9.524334248346396
SND2015120107143032,95.77947,-18.0498,397.03006,101.58016,-0.04460824818864571,-0.99131627059617,0.10342316379788687,-1.7913984210565856,0.0041437328032421315,-0.7257337063559242,11.211443080044438
SND2015120107143033,95.77515,-18.060057,397.0682,101.33437,0.03393220832634703,-0.004755926591802197,0.010792584493002926,-0.03329019464412343,0.013341710425493692,0.0021830932827332605,0.0
SND2015120107143034,95.77071,-18.070309,396.75134,101.75248,0.02336633595519019,-0.05494897658253845,0.034562573380264965,-0.22301358285374812,0.01667622554541271,-0.022785362206277922,13.109068905548627
SND2015120107143035,95.76621,-18.080452,396.3987,101.55422,-0.09469146462978328,-0.1547747538995017,-0.08711739772768119,-0.42625065212984226,-0.1116130014971914,-0.10918788990036382,11.110573909597255
SND2015120107143036,95.761604,-18.090605,398.34277,101.71353,0.002953245897034444,-0.07096381827720358,0.027607533085995742,-0.31019899233304443,0.0031382626026557787,-0.04473125485761803,15.62683522433293
SND2015120107143037,95.75691,-18.100739,397.54053,101.80926,-0.001854970983721156,0.09072954252111624,-0.003259330959267939,0.04723958326630811,-0.002836568844883751,0.03959284661782218,17.241424062982055
SND2015120107143038,95.75212,-18.110863,398.11508,101.71064,0.005083521281703577,0.0179350307257839,0.005985504177542936,-0.06077438734097684,-0.0007309851557487952,0.004724474198093558,16.671286353536363
SND2015120107143071,95.779526,-18.020813,395.98956,101.71263,-0.0165670962095958,-0.6977843419680099,0.07456890169809782,-1.3302072430095175,0.0008066508966375622,-0.4514336689591896,11.664800028510701
SND2015120107143072,95.77533,-18.031042,395.78485,101.39426,-0.021092501337614505,-0.44548796959002906,0.028813307657611996,-0.9315850024126644,-0.02196655090102101,-0.28300709863360046,8.190132633024021
SND2015120107143073,95.77102,-18.041302,396.476,101.70002,-0.06436025755676923,-0.8546051707978067,0.01495680285458295,-1.490304645106557,-0.056452289143773676,-0.6999904923892365,10.682376032949994
SND2015120107143074,95.76659,-18.051556,396.567,101.523964,-0.0462822473441645,-0.1803875998754405,-0.11116874430926901,0.0004566676682831267,-0.10227479827128308,-0.0035064213723439157,6.639449164691106
SND2015120107143075,95.7621,-18.0617,397.20963,101.69387,-0.02588632391439829,-0.8818774030730123,0.07898702692593593,-1.5582013324691195,-0.02683408513202906,-0.42290580061637034,12.261239404681216
SND2015120107143076,95.75751,-18.071857,397.21982,101.33754,0.035481812767484924,0.011719112345069255,0.011053404527266605,0.016457666917715275,0.013778147863387857,0.034902754530021944,14.412627469006901
SND2015120107143077,95.752815,-18.081995,396.83157,101.39468,-0.004003964485022043,-0.304383993037362,0.08783849146427639,-0.9131342571701164,0.026899922742806285,-0.2774574696355772,14.27377225363268
SND2015120107143078,95.74804,-18.09212,397.9127,101.52334,0.0023051648636978955,-0.013010978199217331,0.008852612960665293,-0.11185324091878843,-0.0005401526191532583,-0.013509313549641234,17.071662153540405
SND2015120107143101,95.77538,-18.002052,395.8063,101.2294,0.028337310960786583,0.02993855561413983,0.010217308533281845,0.033982990351300604,0.012667639108764714,0.023683453316948464,14.547448636972206
SND2015120107143102,95.771194,-18.012283,397.02692,101.75581,-0.039184728477135534,-0.13240096809716795,-0.06917770106678,-0.027692375559812746,-0.07297407092524785,0.0210164634712551,10.808332548230096
SND2015120107143103,95.76689,-18.022545,396.35095,101.26245,0.027123350506108427,-0.05960000213281941,-0.005192468242731836,0.009987850390837242,0.0006560495368741333,-0.0220748987773155,10.767296668623858
SND2015120107143104,95.762474,-18.032803,396.56314,101.32068,0.05910987948036858,-0.29259208938829134,0.05227631217240135,-0.3213407404650175,0.03972811804630132,-0.2109326728566955,9.012918228462615
SND2015120107143105,95.757996,-18.04295,397.11227,101.58835,0.04933725005307493,-0.6809499150926943,0.14573781004000558,-1.2996633120815502,0.06414028734476244,-0.4289429487772803,9.504766541200073
SND2015120107143106,95.7534,-18.053108,397.97528,101.63964,0.05717407129904872,-1.33164366642973,0.2661647941707576,-2.613563955428624,0.08010388505171044,-0.7086797084754292,12.641590901050511
SND2015120107143107,95.748726,-18.063248,397.47424,101.73469,-0.04080148036816321,-0.4832214789893151,-0.02496825534574855,-0.545592268538924,-0.0663694846071307,-0.09650451215213889,11.659866921278992
SND2015120107143108,95.74396,-18.073376,397.44324,101.75573,-0.04677771972554477,-0.07431533553460111,-0.08738582704690695,0.05679395141222197,-0.08125068310153591,0.023827981743934936,14.860881474395713
SND2015120107143131,95.771255,-17.983288,396.6406,101.775055,0.01598388324035609,-0.2740468539279852,0.10909836698674932,-1.0109472317736237,0.03671752478298219,-0.21220422941684947,13.418579132054765
SND2015120107143132,95.76708,-17.99352,395.6683,101.24826,0.018329935176046912,0.02668638311235672,-0.002451486348913807,0.061298829222862165,0.003278753637756789,-0.003770403406860066,15.25480391740212
SND2015120107143133,95.76279,-18.003784,397.83255,101.41916,0.02380945424980566,0.02826297084068851,0.016271020466545744,-0.006707238300841299,0.017087414517228738,-0.010534858714980984,14.809727514745815
SND2015120107143134,95.75838,-18.014044,396.24518,101.60914,-0.0551677469250525,-0.1935847223413175,-0.056277028822766105,-0.3899480554331869,-0.07750426457371405,-0.04849154422355943,10.003586720489086
SND2015120107143135,95.75391,-18.024193,394.3234,101.508766,-0.022160872763219045,-0.3467308340796257,0.017672584343021932,-0.7673459712049397,-0.031492278909477936,-0.16356148607178184,13.206169311882848
SND2015120107143136,95.74933,-18.034353,398.81766,99.91212,-0.034573996743427135,-0.1825915998385202,-0.04981852184941566,-0.3246471803682274,-0.05818716366052398,-0.18212491500063177,13.437529774396571
SND2015120107143137,95.74466,-18.044497,397.58694,101.73123,0.04786037962954044,-0.19518321067735014,0.04048242403437196,-0.21414135052000474,0.032612735980425356,-0.14690948984025937,14.444751476890874
SND2015120107143138,95.7399,-18.054626,397.38525,101.771126,0.03159712990839678,-0.04971920561338645,0.0015481023778816086,0.07576922598246755,0.005265294222215331,0.03880289742503733,15.271172036641971
SND2015120107143171,95.76714,-17.96452,396.63632,101.2873,-0.018445578691337262,0.03544865447447258,-0.03430181529612176,-0.06759316654771788,-0.03427599159915675,-0.03696695448651608,13.48452612674861
SND2015120107143172,95.76297,-17.974756,396.91565,101.519035,0.014194522888282522,-0.20095186115665584,0.05659404194993743,-0.49867600154878183,0.018348568847010596,-0.06841248242635835,8.915180593978933
SND2015120107143173,95.75868,-17.985022,397.74866,101.27829,0.02122894794180926,0.05120137527472306,0.008315049258347775,-0.029495307641442314,0.012037292521891136,-0.03042096284369216,14.877746934736424
SND2015120107143174,95.75429,-17.995283,397.9333,101.636154,0.0057950462417713285,0.07630810307752156,0.0013852108874880481,0.05611453745897194,0.0016102792451318944,0.04373885459394855,15.468526499058772
SND2015120107143175,95.749825,-18.005436,395.46194,101.522095,-0.037015576024479545,0.03510682968882655,-0.05818848606756422,0.013573798788823126,-0.05091846377542946,-0.04821364225996718,14.133247841065222
SND2015120107143176,95.745255,-18.015598,396.35416,100.870155,-0.1467865697444148,-0.7566171517287419,-0.04949119717211712,-1.7160722816746503,-0.13993635479931954,-0.5081523468683732,11.2238755633178
SND2015120107143177,95.74059,-18.025743,399.6652,100.766014,0.0455287443316921,0.06907007061847188,0.03119783699141543,0.0023752973120063957,0.041020131549686895,-0.07356228286826436,12.393748236567133
SND2015120107143178,95.73585,-18.035875,396.10712,101.62212,-0.11168316672391236,-0.25764117309670403,-0.11257907979664773,-0.48153964863906196,-0.14613530085124632,-0.04333904947598931,0.0
